Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsContestedTotal,AlignmentBackfieldRoutesPercentage,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsTotal,ReceptionsContested,ReceptionsHero
Aaron Jones,MIN,RB,20,Yes,No,Yes,15,11,No,Yes,10,0.9091,0.7333,9,0.8182,65,40,8,23,0.0667,,2.0909,91.3,4.3333,5.9091,-0.5613,7.2222,4.4444,0.8889,16.3279,16.3279,0.55,5.5,14.5,10,19,14.5,14.5,9,13.5,13.5,13.5,9,14.5,13.5,3,17,,,0.9333,,,,1,0.0909,,,
Luke Farrell,JAX,TE,13,No,Yes,No,9,2,No,Yes,2,1,0.2222,2,1,4,,,4,0.6667,0.2222,2,79.2,0.4444,2,-4.0486,2,,,2.9081,2.9081,0.1538,0.4,2.4,1.4,2.4,3.4,2.4,1.4,2.4,2.4,2.4,1.4,3.4,2.4,,17,0.1111,1,,,,,,,,1,
Luke Musgrave,GB,TE,2,No,No,No,2,1,No,Yes,1,1,0.5,1,1,4,1,,3,0.5,0.5,3,83.3,2,4,-2.3218,4,1,,3.5538,3.5538,0.5,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,7,,,,1,,,,,,,
Christian Kirk,JAX,WR,14,Yes,No,No,14,,No,Yes,,,,,,,,,,,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.1429,,,,,,,,,,
D'Ernest Johnson,JAX,RB,9,No,Yes,No,9,5,No,Yes,3,0.6,0.5556,2,0.4,15,11,7,4,,0.1111,0.8,47.9,1.6667,3,-3.1464,7.5,5.5,3.5,7.193,7.193,0.5556,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,1,13,,1,0.8889,,1,0.5,,,,,
Theo Johnson,NYG,TE,23,No,Yes,No,21,4,No,Yes,4,1,0.1905,2,0.5,18,13,5,11,0.5238,0.3333,2.75,62.5,0.8571,4.5,-1.7822,9,6.5,2.5,5.3495,5.3495,0.1739,1.8,3.8,2.8,3.8,4.8,3.8,2.8,3.8,3.8,3.8,2.8,4.8,3.8,,12,0.0952,1,0.0476,,,,2,0.5,,1,
Jahan Dotson,PHI,WR,34,No,Yes,No,34,2,No,Yes,1,0.5,0.0588,1,0.5,5,4,-1,1,0.0294,0.2059,0.5,56.3,0.1471,2.5,-3.0798,5,4,-1,2.6369,2.6369,0.0588,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,17,0.7647,,,,,,,,,,
DeVonta Smith,PHI,WR,32,Yes,Yes,No,32,,No,Yes,,,,,,,,,,,0.5938,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.4062,,,,,,,,,,
Jalen McMillan,TB,WR,34,Yes,Yes,No,33,1,No,Yes,1,1,0.0303,1,1,3,5,2,-2,,0.0606,-2,79.2,0.0909,3,-2.4991,3,5,2,1.7404,1.7404,0.0294,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,13,0.9394,,,,,,,,,,
E.J. Jenkins,PHI,TE,5,No,Yes,No,5,,No,Yes,,,,,,,,,,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
Jameson Williams,DET,WR,30,Yes,No,Yes,30,1,No,Yes,1,1,0.0333,1,1,9,14,3,-5,,0.3333,-5,104.2,0.3,9,4.8404,9,14,3,1.3667,1.3667,0.0333,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,15,0.6667,,,1,,,,,,,
Eric Gray,NYG,RB,5,No,Yes,No,4,3,No,Yes,3,1,0.75,3,1,9,8,,1,0.25,,0.3333,79.2,2.25,3,-2.7945,3,2.6667,,3.9669,3.9669,0.6,0.9,3.9,2.4,5.4,3.9,3.9,2.4,3.9,3.9,3.9,2.4,3.9,3.9,,16,,,0.75,,,,,,,,
Trenton Irwin,CIN,WR,5,No,No,No,5,,No,Yes,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.4,,,,,,,,,,
Tucker Fisk,LAC,TE,7,No,No,No,6,1,No,No,1,1,0.1667,1,1,,1,,-1,0.8333,,-1,79.2,,,-4.9014,,1,,1.3579,1.3579,0.1429,,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1.5,1,,9,,,0.1667,,,,,,,,
Brian Robinson,WAS,RB,12,No,No,No,9,7,No,Yes,6,0.8571,0.7778,6,0.8571,44,34,10,8,,0.1111,1.1429,92.9,4.8889,6.2857,-0.1881,7.3333,5.6667,1.6667,10.4866,10.4866,0.5833,4.4,10.4,7.4,13.4,10.4,10.4,7.4,10.4,10.4,10.4,7.4,10.4,10.4,,14,,,0.8889,1,1,0.1667,,,,,
Alvin Kamara,NO,RB,42,Yes,Yes,No,41,36,No,No,31,0.8611,0.878,26,0.7222,126,143,21,,,0.0488,,76.9,3.0732,3.5,-2.508,4.8462,5.5,0.8077,53.6678,53.6678,0.8571,12.6,38.6,25.6,51.6,38.6,41.6,28.6,38.6,38.6,38.6,25.6,38.6,38.6,2,14,0.0244,1,0.9268,6,1,0.0385,4,0.1111,,,1
Ray-Ray McCloud,ATL,WR,42,No,Yes,No,42,1,No,Yes,1,1,0.0238,1,1,6,11,,-5,,0.6429,-5,91.7,0.1429,6,1.8404,6,11,,1.4929,1.4929,0.0238,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,17,0.3571,,,,,,,,,,
Eric Saubert,SF,TE,8,Yes,Yes,No,8,1,No,No,1,1,0.125,1,1,4,,,4,0.375,0.25,4,83.3,0.5,4,-2.0667,4,,,1.5114,1.5114,0.125,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,17,0.375,,,,,,,,,,
Chris Collier,LV,RB,1,No,No,No,1,1,No,No,,,1,,,,,,,,,,39.6,,,-5.8271,,,,1.5191,1.5191,1,,,,,,,,,,,,,,,6,,,1,,,,,,,,
Justyn Ross,KC,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,
Malik Nabers,NYG,WR,28,No,Yes,No,28,,No,Yes,,,,,,,,,,,0.1071,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.8929,,,,,,,,,,
Raheem Blackshear,CAR,RB,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,1,,,,,,,,
Demario Douglas,NE,WR,27,No,No,No,27,2,No,Yes,2,1,0.0741,2,1,8,14,2,-6,,0.963,-3,83.3,0.2963,4,-0.9408,4,7,1,4.3992,4.3992,0.0741,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,,17,0.037,,,,,,,,,,
Sione Vaki,DET,RB,2,No,No,No,2,1,No,No,1,1,0.5,1,1,12,14,4,-2,,,-2,116.7,6,12,5.802,12,14,4,1.2747,1.2747,0.5,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,11,,,1,1,,,,,,,
Alexander Mattison,LV,RB,25,No,No,No,21,19,No,No,17,0.8947,0.9048,17,0.8947,138,159,60,-20,,0.0952,-1.0526,92.5,6.5714,7.2632,1.2175,8.1176,9.3529,3.5294,28.5694,28.5694,0.76,19.8,36.8,28.3,45.3,36.8,39.8,31.3,36.8,36.8,36.8,28.3,36.8,36.8,,14,,,0.9048,4,6,0.3529,,,1,,
Cade Otton,TB,TE,39,No,No,No,31,4,No,Yes,3,0.75,0.129,2,0.5,16,9,2,8,0.6452,0.2581,2,20.8,0.5161,4,-1.9832,8,4.5,1,7.1171,7.1171,0.1026,1.6,3.6,2.6,3.6,4.6,3.6,2.6,3.6,3.6,3.6,2.6,4.6,3.6,,14,0.0968,,,,,,1,0.25,,,
Taysom Hill,NO,TE,9,No,Yes,Yes,9,3,No,Yes,2,0.6667,0.3333,2,0.6667,12,9,2,7,0.3333,0.3333,2.3333,74.3,1.3333,4,-2.0707,6,4.5,1,4.2913,4.2913,0.3333,1.2,3.2,2.2,3.2,4.2,3.2,2.2,3.2,3.2,3.2,2.2,4.2,3.2,,8,0.1111,,0.2222,,,,,,,,
Tank Dell,HST,WR,34,Yes,Yes,No,34,2,No,No,2,1,0.0588,2,1,2,18,1,-16,,0.0588,-8,79.2,0.0588,1,-2.1412,1,9,0.5,3.8925,3.8925,0.0588,0.2,2.2,1.2,2.2,2.2,2.2,1.2,2.2,2.2,2.2,1.2,2.2,2.2,1,14,0.9412,,,,,,,,,,
Xavier Weaver,ARZ,WR,6,Yes,Yes,No,6,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,
Gus Edwards,LAC,RB,8,No,No,No,6,2,No,Yes,2,1,0.3333,2,1,3,4,1,-1,,0.1667,-0.5,79.2,0.5,1.5,-4.4637,1.5,2,0.5,2.933,2.933,0.25,0.3,2.3,1.3,3.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,,11,,,0.8333,,,,,,,,
Rakim Jarrett,TB,WR,5,Yes,Yes,No,5,,No,Yes,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.4,,,,,,,,,,
Julian Hill,MIA,TE,16,Yes,Yes,No,9,1,No,Yes,1,1,0.1111,1,1,4,2,1,2,0.7778,0.1111,2,83.3,0.4444,4,-2.3701,4,2,1,1.628,1.628,0.0625,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,16,0.1111,,,,,,,,,,
Dameon Pierce,HST,RB,5,No,Yes,No,5,2,No,No,2,1,0.4,2,1,2,4,4,-2,,0.2,-1,79.2,0.4,1,-4.819,1,2,2,3.4256,3.4256,0.4,0.2,2.2,1.2,3.2,2.2,2.2,1.2,2.2,2.2,2.2,1.2,2.2,2.2,,11,,,0.8,,2,1,,,,,
Blake Corum,LA,RB,3,Yes,Yes,Yes,3,2,No,Yes,2,1,0.6667,2,1,16,16,3,,,,,100,5.3333,8,1.6857,8,8,1.5,3.1523,3.1523,0.6667,1.6,3.6,2.6,4.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,,15,,,1,1,,,,,,,
Pierre Strong,CLV,RB,8,No,No,No,8,3,No,Yes,3,1,0.375,2,0.6667,8,9,4,5,0.25,0.125,1.6667,70.1,1,2.6667,-4.0103,4,4.5,2,4.1408,4.1408,0.375,0.8,2.8,1.8,3.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,,13,0.125,1,0.5,,,,,,,,
Jacob Kibodi,CLV,RB,2,No,No,Yes,2,2,No,No,,,1,,,,,,6,,,3,,,,-6.5094,,,,2.661,2.661,1,,,,,,,,,,,,,,2,1,,,1,,,,,,,,
Breece Hall,NYJ,RB,39,Yes,Yes,No,31,25,No,Yes,22,0.88,0.8065,19,0.76,241,244,66,-5,0.0645,,-0.2,132.3,7.7742,9.64,3.6788,12.6842,12.8421,3.4737,38.7298,38.7298,0.641,36.1,55.1,45.6,64.6,55.1,58.1,48.6,55.1,55.1,55.1,45.6,55.1,55.1,3,16,,,0.9355,8,10,0.5263,3,0.12,2,,
Trent Sherfield,MIN,WR,4,Yes,No,Yes,4,1,No,Yes,1,1,0.25,1,1,17,13,,4,,0.75,4,118.8,4.25,17,10.9502,17,13,,1.4828,1.4828,0.25,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,17,0.25,,,1,,,,,,,
Tyquan Thornton,NE,WR,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,
DK Metcalf,SEA,WR,37,Yes,Yes,Yes,36,,No,Yes,,,,,,,,,,,0.0278,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.9722,,,,,,,,,,
Mark Andrews,BLT,TE,24,No,No,Yes,20,4,No,No,4,1,0.2,4,1,26,24,6,2,0.25,0.65,0.5,93.8,1.3,6.5,1.0497,6.5,6,1.5,5.3099,5.3099,0.1667,2.6,6.6,4.6,6.6,8.6,6.6,4.6,6.6,6.6,6.6,4.6,8.6,6.6,,17,0.1,,,1,,,,,,,
Parker Washington,JAX,WR,19,No,Yes,No,19,,No,Yes,,,,,,,,,,,0.5263,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.4737,,,,,,,,,,
MyCole Pruitt,PIT,TE,8,No,Yes,No,4,3,Yes,Yes,2,0.6667,0.75,2,0.6667,2,8,4,-12,0.75,,-4,70.1,0.5,0.6667,-5.6157,1,4,2,4.3404,4.3404,0.375,0.2,2.2,1.2,2.2,3.2,2.2,1.2,2.2,2.2,2.2,1.2,3.2,2.2,,12,,,0.25,,,,,,,,
Allen Robinson,DET,WR,2,No,No,No,2,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,
Kendre Miller,NO,RB,5,No,Yes,No,4,4,No,Yes,4,1,1,3,0.75,17,26,7,-7,,,-1.75,82.3,4.25,4.25,-1.5207,5.6667,8.6667,2.3333,6.0268,6.0268,0.8,1.7,4.7,3.2,6.2,4.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,,6,,,1,1,,,1,0.25,,,
Diontae Johnson,HST,WR,35,No,Yes,No,35,,No,No,,,,,,,,,,,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.9714,,,,,,,,,,
Erick All,CIN,TE,10,No,No,No,8,2,No,Yes,2,1,0.25,1,0.5,,3,1,-5,0.625,0.125,-2.5,56.3,,,-5.3581,,3,1,3.1254,3.1254,0.2,,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1.5,1,,9,0.25,,,,,,1,0.5,,,
Braxton Berrios,MIA,WR,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.5,,,,,,,,,,
Jonnu Smith,MIA,TE,31,Yes,Yes,No,27,6,No,Yes,5,0.8333,0.2222,4,0.6667,29,36,6,-14,0.4074,0.2593,-2.3333,77.8,1.0741,4.8333,-1.0735,7.25,9,1.5,8.9455,8.9455,0.1935,2.9,6.9,4.9,6.9,8.9,6.9,4.9,6.9,6.9,6.9,4.9,8.9,6.9,,17,0.3333,,,1,,,1,0.1667,,,
Harrison Bryant,LV,TE,5,No,No,No,4,1,No,No,1,1,0.25,1,1,12,11,5,1,1,,1,116.7,3,12,6.2246,12,11,5,1.4989,1.4989,0.2,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,13,,,,1,1,1,,,,,
Tylan Wallace,BLT,WR,10,No,No,Yes,10,,No,No,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.9,,,,,,,,,,
Josiah Deguara,JAX,TE,3,No,Yes,No,3,1,No,Yes,1,1,0.3333,1,1,4,2,1,2,,0.3333,2,83.3,1.3333,4,-2.3701,4,2,1,1.35,1.35,0.3333,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,13,0.6667,,,,,,,,,,
Braelon Allen,NYJ,RB,9,Yes,Yes,No,7,6,No,Yes,4,0.6667,0.8571,3,0.5,16,17,6,1,,,0.1667,56.3,2.2857,2.6667,-3.3082,5.3333,5.6667,2,8.2266,8.2266,0.6667,1.6,4.6,3.1,6.1,4.6,4.6,3.1,4.6,4.6,4.6,3.1,4.6,4.6,,17,,,1,,,,1,0.1667,,,
Elijah Higgins,ARZ,TE,15,Yes,Yes,No,14,6,No,No,6,1,0.4286,6,1,53,56,25,-3,0.3571,0.5,-0.5,103.5,3.7857,8.8333,2.9838,8.8333,9.3333,4.1667,10.6721,10.6721,0.4,5.3,11.3,8.3,11.3,14.3,11.3,8.3,11.3,11.3,11.3,8.3,14.3,11.3,,17,0.0714,,0.0714,3,4,0.6667,,,,,
Adam Thielen,CAR,WR,17,No,Yes,No,16,1,No,Yes,1,1,0.0625,1,1,4,7,3,-3,,0.6875,-3,83.3,0.25,4,-0.9408,4,7,3,1.858,1.858,0.0588,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,10,0.3125,,,,,,,,,,
Tutu Atwell,LA,WR,16,Yes,Yes,Yes,16,,No,Yes,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.625,,,,,,,,,,
David Moore,CAR,WR,16,No,Yes,No,16,,No,Yes,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.875,,,,,,,,,,
Justin Shorter,LV,TE,1,No,Yes,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,37,Yes,No,Yes,37,1,No,Yes,1,1,0.027,1,1,5,5,1,,,0.3784,,87.5,0.1351,5,-1.0386,5,5,1,2.8028,2.8028,0.027,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,17,0.6216,,,,,,,,,,
Isaiah Williams,CIN,WR,1,No,Yes,No,1,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
Charlie Woerner,ATL,TE,13,No,Yes,No,9,2,No,Yes,2,1,0.2222,2,1,10,10,2,,0.5556,0.2222,,87.5,1.1111,5,-1.0935,5,5,1,3.1057,3.1057,0.1538,1,3,2,3,4,3,2,3,3,3,2,4,3,,16,0.2222,,,1,,,,,,,
Josh Palmer,LAC,WR,26,No,Yes,Yes,26,,No,Yes,,,,,,,,,,,0.1538,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.8462,,,,,,,,,,
Antonio Gibson,NE,RB,13,No,No,No,12,12,No,Yes,12,1,1,12,1,139,126,39,13,,,1.0833,114.9,11.5833,11.5833,5.3701,11.5833,10.5,3.25,18.1857,18.1857,0.9231,13.9,25.9,19.9,31.9,25.9,28.9,22.9,25.9,25.9,25.9,19.9,25.9,25.9,2,17,,1,1,7,4,0.3333,,,,1,1
Jeff Wilson,MIA,RB,4,Yes,Yes,No,3,1,No,Yes,1,1,0.3333,1,1,7,6,1,1,,,1,95.8,2.3333,7,1.2706,7,6,1,1.6235,1.6235,0.25,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,9,,,1,,,,,,,,
Deuce Vaughn,DAL,RB,3,No,No,No,3,3,No,Yes,2,0.6667,1,2,0.6667,10,11,6,-5,,,-1.6667,71.5,3.3333,3.3333,-2.4991,5,5.5,3,4.5884,4.5884,1,1,3,2,4,3,3,2,3,3,3,2,3,3,,6,,,1,,2,1,,,,,
Garrett Wilson,NYJ,WR,52,Yes,Yes,No,50,,No,Yes,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8,,,,,,,,,,
Dyami Brown,WAS,WR,17,No,No,No,17,1,No,Yes,1,1,0.0588,1,1,24,24,22,,,0.1176,,118.8,1.4118,24,17.9614,24,24,22,1.1808,1.1808,0.0588,2.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,,16,0.8824,,,1,2,2,,,,,
Chris Manhertz,NYG,TE,7,No,Yes,No,3,,No,Yes,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,
Cody Schrader,LA,RB,1,Yes,Yes,Yes,1,1,No,Yes,1,1,1,1,1,6,6,2,,,,,91.7,6,6,0.1729,6,6,2,1.2433,1.2433,1,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,1,,,1,,,,,,,,
Blake Whiteheart,CLV,TE,7,No,No,Yes,6,1,No,No,1,1,0.1667,1,1,5,3,,2,0.6667,0.1667,2,87.5,0.8333,5,-1.3701,5,3,,1.4126,1.4126,0.1429,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,11,,,0.1667,,,,,,,,
Emanuel Wilson,GB,RB,7,No,No,No,5,4,No,Yes,3,0.75,0.8,3,0.75,7,15,5,-10,,,-2.5,77.1,1.4,1.75,-4.3337,2.3333,5,1.6667,8.2012,8.2012,0.5714,0.7,3.7,2.2,5.2,3.7,3.7,2.2,3.7,3.7,3.7,2.2,3.7,3.7,1,17,,,1,1,,,,,,,
Quentin Johnston,LAC,WR,19,No,No,No,19,,No,No,,,,,,,,,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.9474,,,,,,,,,,
Johnny Wilson,PHI,WR,11,No,Yes,No,11,1,No,Yes,1,1,0.0909,1,1,9,6,6,3,0.0909,0.2727,3,104.2,0.8182,9,3.5501,9,6,6,1.3701,1.3701,0.0909,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,16,0.6364,,,1,1,1,,,,,
Cam Grandy,CIN,TE,2,No,Yes,No,1,1,Yes,Yes,1,1,1,1,1,,1,,-1,,1,-1,79.2,,,-4.9014,,1,,1.554,1.554,0.5,,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1.5,1,,8,,,,,,,,,,,
Malachi Corley,NYJ,WR,4,No,No,Yes,4,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.5,,,,,,,,,,
Elijah Moore,CLV,WR,34,No,No,Yes,34,4,No,No,4,1,0.1176,4,1,10,14,2,-4,,0.5,-1,79.2,0.2941,2.5,-3.1004,2.5,3.5,0.5,8.4059,8.4059,0.1176,1,5,3,5,5,5,3,5,5,5,3,5,5,1,17,0.5,,,,,,,,,,
Rachaad White,TB,RB,25,Yes,Yes,No,23,16,No,Yes,14,0.875,0.6957,14,0.875,77,92,35,-22,,0.0435,-1.375,107.6,3.3478,4.8125,-1.1056,5.5,6.5714,2.5,25.3838,25.3838,0.64,12.7,26.7,19.7,33.7,26.7,26.7,18.7,25.7,25.7,25.7,18.7,26.7,25.7,2,16,,,0.9565,2,2,0.1429,,,1,,
Xavier Worthy,KC,WR,36,Yes,No,No,36,2,No,Yes,2,1,0.0556,2,1,14,16,2,-2,,0.3889,-1,95.8,0.3889,7,1.2312,7,8,1,2.7434,2.7434,0.0556,1.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,17,0.5833,,0.0278,1,1,0.5,,,,,
Zach Charbonnet,SEA,RB,27,Yes,Yes,Yes,24,16,No,Yes,15,0.9375,0.6667,15,0.9375,84,96,28,-12,0.0833,0.0417,-0.75,62.5,3.5,5.25,-0.7169,5.6,6.4,1.8667,22.8511,22.8511,0.5926,8.4,23.4,15.9,30.9,23.4,23.4,15.9,23.4,23.4,23.4,15.9,23.4,23.4,1,17,0.0833,,0.7917,1,5,0.3333,,,,,
Chuba Hubbard,CAR,RB,39,No,No,Yes,37,30,No,Yes,29,0.9667,0.8108,27,0.9,110,134,48,-27,,0.0811,-0.9,93.1,2.973,3.6667,-2.2046,4.0741,4.963,1.7778,47.827,47.827,0.7692,15,42,28.5,55.5,42,45,29.5,40,40,40,26.5,42,40,6,15,0.027,2,0.8919,7,4,0.1481,,,1,,
Jared Wayne,HST,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,
AJ Barner,SEA,TE,21,Yes,Yes,Yes,20,7,No,Yes,6,0.8571,0.35,6,0.8571,37,44,18,-6,0.5,0.4,-0.8571,128.3,1.85,5.2857,-0.3563,6.1667,7.3333,3,10.4683,10.4683,0.3333,9.7,15.7,12.7,15.7,18.7,15.7,12.7,15.7,15.7,15.7,12.7,18.7,15.7,1,17,0.05,,0.05,3,1,0.1667,,,1,,
Kareem Hunt,KC,RB,14,No,Yes,No,14,10,No,No,7,0.7,0.7143,7,0.7,38,49,19,-14,0.0714,,-1.4,76.2,2.7143,3.8,-1.9687,5.4286,7,2.7143,16.6487,16.6487,0.7143,3.8,10.8,7.3,14.3,10.8,10.8,7.3,10.8,10.8,10.8,7.3,10.8,10.8,2,13,,1,0.9286,1,1,0.1429,,,,1,
Brandon Powell,MIN,WR,7,Yes,No,Yes,6,,No,Yes,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.3333,,,,,,,,,,
Derrick Henry,BLT,RB,10,No,No,Yes,8,5,No,No,5,1,0.625,5,1,42,40,8,2,,,0.4,141.3,5.25,8.4,2.1717,8.4,8,1.6,7.4199,7.4199,0.5,10.2,15.2,12.7,17.7,15.2,15.2,12.7,15.2,15.2,15.2,12.7,15.2,15.2,2,17,,,1,3,1,0.2,,,1,,
Robert Tonyan,MIN,TE,2,Yes,No,No,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
Ty Johnson,BUF,RB,11,No,No,No,10,9,No,Yes,7,0.7778,0.9,7,0.7778,57,53,20,16,,,1.7778,130.1,5.7,6.3333,-0.1436,8.1429,7.5714,2.8571,16.6395,16.6395,0.8182,11.7,18.7,15.2,22.2,18.7,18.7,15.2,18.7,18.7,18.7,15.2,18.7,18.7,2,17,,,1,4,1,0.1429,,,1,,
Van Jefferson,PIT,WR,36,No,Yes,No,35,1,Yes,Yes,,,0.0286,,,,,,-1,,0.2286,-1,39.6,,,-6.1699,,,,1.3579,1.3579,0.0278,,,,,,,,,,,,,,,17,0.7714,,,,,,,,,,
Bijan Robinson,ATL,RB,35,No,Yes,No,34,26,No,Yes,25,0.9615,0.7647,23,0.8846,171,191,54,-14,,0.0882,-0.5385,106.9,5.0294,6.5769,0.4991,7.4348,8.3043,2.3478,43.6282,43.6282,0.7429,23.1,46.1,34.6,57.6,46.1,49.1,37.6,46.1,46.1,46.1,34.6,46.1,46.1,2,17,,,0.9118,8,5,0.2174,2,0.0769,1,,
