Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,playerStatsFirstDownsReceiving,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,ReceptionsContested,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,ReceptionsHero
Tyler Lockett,SEA,WR,55,Yes,No,No,16,6,No,Yes,6,1,0.375,6,1,11,26,6,-15,0.4375,6,6,1,-2.5,79.2,0.6875,1.8333,-3.48,1.8333,4.3333,1,9.7835,9.7835,0.1091,1.1,7.1,4.1,7.1,7.1,7.1,4.1,7.1,7.1,7.1,4.1,7.1,7.1,17,,1,,,,0.5625,,,,,,,
Jordan Addison,MIN,WR,46,No,No,No,16,9,No,Yes,9,1,0.5625,9,1,14,51,15,-37,0.1875,9,9,1,-4.1111,79.2,0.875,1.5556,-2.7992,1.5556,5.6667,1.6667,14.9612,14.9612,0.1957,1.4,10.4,5.9,10.4,10.4,10.4,5.9,10.4,10.4,10.4,5.9,10.4,10.4,15,,,,2,0.2222,0.8125,5,,,,,,
Jaelon Darden,SEA,WR,3,Yes,No,No,3,1,No,Yes,1,1,0.3333,1,1,6,8,1,-2,1,1,1,1,-2,91.7,2,6,0.5009,6,8,1,1.5102,1.5102,0.3333,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,11,,1,,,,,,,,,,,
Chris Conley,SF,WR,10,No,No,No,3,,No,Yes,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,0.3333,,,,,,,
Travis Homer,CHI,RB,6,Yes,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,
Skyy Moore,KC,WR,8,No,No,Yes,2,,No,Yes,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,0.5,,,,,,,
Shane Zylstra,DET,TE,6,No,No,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
Mecole Hardman,KC,WR,16,Yes,No,No,13,8,No,Yes,8,1,0.6154,8,1,46,67,9,-21,0.2308,8,8,1,-2.625,90.6,3.5385,5.75,0.5742,5.75,8.375,1.125,13.3849,13.3849,0.5,4.6,12.6,8.6,12.6,12.6,12.6,8.6,12.6,12.6,12.6,8.6,12.6,12.6,12,0.2308,3,,1,0.125,0.5385,4,,,,,,
Malik Heath,GB,WR,6,No,No,No,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,
Nate Adkins,DEN,TE,24,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,1,
Luke Schoonmaker,DAL,TE,15,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.5,,,,,,0.5,
Jack Stoll,MIA,TE,5,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,1,
Trenton Irwin,CIN,WR,10,Yes,No,No,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
Eric Gray,NYG,RB,7,Yes,No,No,5,4,No,Yes,4,1,0.8,4,1,53,79,13,-26,,4,4,1,-6.5,118.8,10.6,13.25,8.441,13.25,19.75,3.25,6.2213,6.2213,0.5714,5.3,9.3,7.3,11.3,9.3,9.3,7.3,9.3,9.3,9.3,7.3,9.3,9.3,16,0.8,2,,2,0.5,0.2,,,,,,,
Jameson Williams,DET,WR,50,No,No,No,18,9,No,Yes,8,0.8889,0.5,8,0.8889,28,58,12,-35,0.5556,9,9,1,-3.8889,79.6,1.5556,3.1111,-1.4723,3.5,7.25,1.5,15.9991,15.9991,0.18,2.8,10.8,6.8,10.8,10.8,10.8,6.8,10.8,10.8,10.8,6.8,10.8,10.8,15,,2,,2,0.25,0.4444,1,,,,,,
Jalen McMillan,TB,WR,47,No,No,No,15,7,No,Yes,7,1,0.4667,7,1,50,56,10,-6,0.6,7,7,1,-0.8571,136,3.3333,7.1429,1.6141,7.1429,8,1.4286,11.1987,11.1987,0.1489,11,18,14.5,18,18,18,14.5,18,18,18,14.5,18,18,13,,4,1,1,0.1429,0.4,1,,,,,,
Jahan Dotson,PHI,WR,21,Yes,No,No,9,5,No,Yes,5,1,0.5556,5,1,25,43,13,-18,0.3333,5,5,1,-3.6,87.5,2.7778,5,0.217,5,8.6,2.6,8.9701,8.9701,0.2381,2.5,7.5,5,7.5,7.5,7.5,5,7.5,7.5,7.5,5,7.5,7.5,17,,2,,2,0.4,0.6667,,,,,,,
DeVonta Smith,PHI,WR,21,No,No,No,8,5,No,Yes,5,1,0.625,5,1,10,21,3,-11,0.25,5,5,1,-2.2,79.2,1.25,2,-3.4099,2,4.2,0.6,7.6026,7.6026,0.2381,1,6,3.5,6,6,6,3.5,6,6,6,3.5,6,6,13,,1,,,,0.75,1,,,,,,
D'Ernest Johnson,JAX,RB,14,Yes,No,No,9,5,No,No,5,1,0.5556,5,1,25,51,12,-26,0.1111,5,5,1,-5.2,87.5,2.7778,5,-0.3111,5,10.2,2.4,7.4898,7.4898,0.3571,2.5,7.5,5,10,7.5,7.5,5,7.5,7.5,7.5,5,7.5,7.5,13,0.7778,1,,,,0.1111,,,,,,,
Theo Johnson,NYG,TE,28,Yes,No,No,9,3,No,Yes,3,1,0.3333,2,0.6667,19,27,4,-12,0.2222,3,3,1,-4,84,2.1111,6.3333,0.8084,9.5,13.5,2,6.3778,6.3778,0.1071,1.9,3.9,2.9,3.9,4.9,3.9,2.9,3.9,3.9,3.9,2.9,4.9,3.9,12,0.1111,1,,,,0.1111,,1,,,,0.5556,
Christian Kirk,JAX,WR,21,No,No,No,10,4,No,Yes,4,1,0.4,4,1,27,37,5,-10,0.4,4,4,1,-2.5,94.8,2.7,6.75,1.4763,6.75,9.25,1.25,5.5077,5.5077,0.1905,2.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,8,,2,,,,0.6,,,,,,,
Aaron Jones,MIN,RB,41,No,No,No,26,26,No,Yes,26,1,1,26,1,173,294,58,-121,0.1538,26,26,1,-4.6538,94.4,6.6538,6.6538,1.2015,6.6538,11.3077,2.2308,43.558,43.558,0.6341,16.3,42.3,29.3,55.3,42.3,45.3,31.3,41.3,41.3,41.3,28.3,42.3,41.3,17,0.7692,9,,6,0.2308,0.0769,9,,,,,,
Luke Farrell,JAX,TE,16,Yes,No,No,2,1,No,No,1,1,0.5,1,1,5,8,8,-3,,1,1,1,-3,87.5,2.5,5,-0.8652,5,8,8,1.858,1.858,0.0625,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,17,,,,1,1,,,,,,,1,
James Proche,CLV,WR,2,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,
Joe Mixon,HST,RB,35,No,No,No,18,14,No,No,13,0.9286,0.7778,12,0.8571,115,170,50,-60,,14,14,1,-4.2857,100.9,6.3889,8.2143,2.6218,9.5833,14.1667,4.1667,21.867,21.867,0.4,11.5,23.5,17.5,29.5,23.5,26.5,20.5,23.5,23.5,23.5,17.5,23.5,23.5,14,0.9444,5,,5,0.4167,0.0556,,,,1,0.0714,,
Kristian Wilkerson,LV,WR,3,No,No,Yes,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Puka Nacua,LA,WR,25,No,No,No,22,19,No,Yes,19,1,0.8636,19,1,195,234,60,-39,0.7727,19,19,1,-2.0526,144.5,8.8636,10.2632,4.8304,10.2632,12.3158,3.1579,30.5022,30.5022,0.76,31.5,50.5,41,50.5,50.5,53.5,44,50.5,50.5,50.5,41,50.5,50.5,11,,8,2,6,0.3158,0.2273,5,,,,,,
Gus Edwards,LAC,RB,4,Yes,No,No,2,1,No,Yes,,,0.5,,,,,,-5,,1,1,1,-5,39.6,,,-5.8711,,,,1.72,1.72,0.25,,,,,,,,,,,,,,11,1,,,,,,,,,,,,
Taysom Hill,NO,TE,13,Yes,No,No,9,4,No,Yes,4,1,0.4444,4,1,31,44,9,-13,0.4444,4,4,1,-3.25,99,3.4444,7.75,2.5113,7.75,11,2.25,6.0743,6.0743,0.3077,3.22,7.22,5.22,7.22,9.22,7.22,5.22,7.22,7.22,7.22,5.22,9.25,7.25,8,0.3333,1,,1,0.25,,,,,,,0.2222,
Alexander Mattison,LV,RB,23,Yes,No,Yes,11,6,No,Yes,6,1,0.5455,4,0.6667,61,73,24,-22,0.1818,6,6,1,-3.6667,100,5.5455,10.1667,4.3891,15.25,18.25,6,8.8478,8.8478,0.2609,6.1,10.1,8.1,12.1,10.1,10.1,8.1,10.1,10.1,10.1,8.1,10.1,10.1,14,0.8182,3,,3,0.75,,,1,,1,0.1667,,
Cade Otton,TB,TE,70,No,No,No,16,12,No,Yes,11,0.9167,0.75,10,0.8333,58,78,24,-26,0.1875,12,12,1,-2.1667,86.8,3.625,4.8333,-0.4085,5.8,7.8,2.4,18.4393,18.4393,0.1714,5.8,15.8,10.8,15.8,20.8,15.8,10.8,15.8,15.8,15.8,10.8,20.8,15.8,14,,2,,2,0.2,0.25,3,,,1,0.0833,0.5625,
Demario Douglas,NE,WR,49,Yes,No,No,36,20,No,Yes,20,1,0.5556,20,1,92,159,32,-67,0.3056,20,20,1,-3.35,85.8,2.5556,4.6,-0.1362,4.6,7.95,1.6,34.9405,34.9405,0.4082,9.2,29.2,19.2,29.2,29.2,29.2,19.2,29.2,29.2,29.2,19.2,29.2,29.2,17,0.0278,3,,4,0.2,0.6667,1,,,,,,
Tank Dell,HST,WR,42,Yes,No,No,15,6,No,Yes,6,1,0.4,6,1,23,47,16,-24,0.6,6,6,1,-4,82.6,1.5333,3.8333,-0.7123,3.8333,7.8333,2.6667,9.2339,9.2339,0.1429,2.3,8.3,5.3,8.3,8.3,8.3,5.3,8.3,8.3,8.3,5.3,8.3,8.3,14,,1,,,,0.4,,,,,,,
Malik Nabers,NYG,WR,53,Yes,No,No,30,19,No,Yes,19,1,0.6333,15,0.7895,89,139,42,-65,0.5667,19,19,1,-3.4211,103.7,2.9667,4.6842,-0.0946,5.9333,9.2667,2.8,31.4696,31.4696,0.3585,14.9,29.9,22.4,29.9,29.9,29.9,22.4,29.9,29.9,29.9,22.4,29.9,29.9,15,,4,1,3,0.2,0.4333,1,,,4,0.2105,,
Xavier Weaver,ARZ,WR,3,No,No,No,2,,No,Yes,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0.5,,,,,,,
Eric Saubert,SF,TE,6,No,No,No,2,1,No,Yes,1,1,0.5,1,1,-1,,,-1,,1,1,1,-1,79.2,-0.5,-1,-5.9014,-1,,,2.0818,2.0818,0.1667,-0.1,0.9,0.4,0.9,1.4,0.9,0.4,0.9,0.9,0.9,0.4,1.4,0.9,17,,,,,,1,1,,,,,,
Ray-Ray McCloud,ATL,WR,48,No,No,No,18,18,No,Yes,17,0.9444,1,16,0.8889,92,146,42,-62,0.7222,18,18,1,-3.4444,88,5.1111,5.1111,0.3448,5.75,9.125,2.625,27.9884,27.9884,0.375,9.2,25.2,17.2,25.2,25.2,25.2,17.2,25.2,25.2,25.2,17.2,25.2,25.2,17,,3,,3,0.1875,0.2778,1,,,1,0.0556,,
Brian Robinson,WAS,RB,39,No,No,No,15,9,No,Yes,9,1,0.6,8,0.8889,43,80,12,-42,,9,9,1,-4.6667,47,2.8667,4.7778,-0.707,5.375,10,1.5,15.1051,15.1051,0.2308,4.3,12.3,8.3,16.3,12.3,12.3,8.3,12.3,12.3,12.3,8.3,12.3,12.3,14,0.7333,1,,1,0.125,0.2667,2,1,,1,0.1111,,
Alvin Kamara,NO,RB,34,No,No,No,26,25,No,No,23,0.92,0.9615,22,0.88,214,295,54,-91,0.2308,25,25,1,-3.64,115.7,8.2308,8.56,2.7134,9.7273,13.4091,2.4545,38.6502,38.6502,0.7353,27.4,49.4,38.4,60.4,49.4,52.4,41.4,49.4,49.4,49.4,38.4,49.4,49.4,14,0.6154,5,1,2,0.0909,0.1538,4,,,1,0.04,,
Erick All,CIN,TE,9,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,-1,,,-1,,1,1,1,-1,79.2,-0.5,-1,-5.9014,-1,,,1.6739,1.6739,0.1111,-0.1,0.9,0.4,0.9,1.4,0.9,0.4,0.9,0.9,0.9,0.4,1.4,0.9,9,,,,,,,,,,,,1,
Diontae Johnson,HST,WR,14,No,No,No,9,5,No,No,4,0.8,0.5556,4,0.8,12,19,6,-11,0.6667,5,5,1,-2.2,79.2,1.3333,2.4,-3.0529,3,4.75,1.5,7.7533,7.7533,0.3571,1.2,5.2,3.2,5.2,5.2,5.2,3.2,5.2,5.2,5.2,3.2,5.2,5.2,12,,,,,,0.3333,,,,,,,
Kendre Miller,NO,RB,7,No,No,Yes,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,
MyCole Pruitt,PIT,TE,12,Yes,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,1.935,1.935,,,,,,,,,,,,,,,12,,,,,,,,,,,,1,
DK Metcalf,SEA,WR,55,Yes,No,No,19,5,No,Yes,5,1,0.2632,5,1,36,37,11,-1,0.9474,5,5,1,-0.2,96.7,1.8947,7.2,1.679,7.2,7.4,2.2,10.614,10.614,0.0909,3.6,8.6,6.1,8.6,8.6,8.6,6.1,8.6,8.6,8.6,6.1,8.6,8.6,15,,,,,,0.0526,1,,,,,,
Mark Andrews,BLT,TE,34,No,No,Yes,8,1,No,Yes,1,1,0.125,1,1,2,3,,-1,0.25,1,1,1,-1,79.2,0.25,2,-2.9014,2,3,,1.4477,1.4477,0.0294,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,17,,,,,,0.625,,,,,,0.125,
Parker Washington,JAX,WR,38,Yes,No,No,13,3,No,No,3,1,0.2308,2,0.6667,9,14,4,-9,0.9231,3,3,1,-3,70.1,0.6923,3,-1.975,4.5,7,2,4.4623,4.4623,0.0789,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,17,,,,1,0.5,0.0769,,,,1,0.3333,,
Allen Robinson,DET,WR,4,No,No,No,2,,No,No,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,0.5,,,,,,,
Tyquan Thornton,NE,WR,8,No,No,Yes,6,1,No,Yes,1,1,0.1667,1,1,6,8,3,-2,0.8333,1,1,1,-2,91.7,1,6,0.5009,6,8,3,1.5102,1.5102,0.125,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,5,,,,,,0.1667,,,,,,,
Breece Hall,NYJ,RB,47,Yes,No,No,27,18,No,Yes,16,0.8889,0.6667,16,0.8889,91,153,36,-67,,18,18,1,-3.7222,87.7,3.3704,5.0556,-0.8669,5.6875,9.5625,2.25,31.877,31.877,0.383,8.1,24.1,16.1,32.1,24.1,24.1,15.1,23.1,23.1,23.1,15.1,24.1,23.1,16,0.8148,4,,2,0.125,0.1852,,,,,,,
Trent Sherfield,MIN,WR,9,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,1,,,,,,,
Pierre Strong,CLV,RB,15,No,No,No,11,7,No,Yes,7,1,0.6364,7,1,72,97,36,-25,0.1818,7,7,1,-3.5714,109.5,6.5455,10.2857,4.3829,10.2857,13.8571,5.1429,10.4737,10.4737,0.4667,7.2,14.2,10.7,17.7,14.2,14.2,10.7,14.2,14.2,14.2,10.7,14.2,14.2,13,0.5455,3,,2,0.2857,0.1818,1,,,,,0.0909,
Dameon Pierce,HST,RB,4,No,No,No,2,1,No,No,,,0.5,,,,,,-4,,1,1,1,-4,39.6,,,-5.5699,,,,1.7135,1.7135,0.25,,,,,,,,,,,,,,11,1,,,,,,1,,,,,,
Blake Corum,LA,RB,3,Yes,No,No,1,1,No,Yes,1,1,1,1,1,8,14,5,-6,,1,1,1,-6,100,8,8,2.9107,8,14,5,1.3775,1.3775,0.3333,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,15,1,,,1,1,,,,,,,,
Julian Hill,MIA,TE,36,Yes,No,No,4,1,No,Yes,1,1,0.25,1,1,4,7,-1,-3,,1,1,1,-3,83.3,1,4,-1.8652,4,7,-1,2.2389,2.2389,0.0278,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,16,,,,,,,1,,,,,1,
Jha'Quan Jackson,TEN,WR,2,Yes,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,1.6815,1.6815,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,
Rakim Jarrett,TB,WR,22,No,No,No,6,,No,Yes,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,0.3333,,,,,,,
Josh Palmer,LAC,WR,16,Yes,No,Yes,3,2,No,Yes,2,1,0.6667,2,1,15,14,5,1,1,2,2,1,0.5,97.9,5,7.5,1.7479,7.5,7,2.5,4.1387,4.1387,0.125,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,15,,1,,,,,1,,,,,,
Antonio Gibson,NE,RB,23,Yes,No,No,12,10,No,Yes,9,0.9,0.8333,9,0.9,48,83,20,-38,0.0833,10,10,1,-3.8,86.7,4,4.8,-0.9236,5.3333,9.2222,2.2222,15.1823,15.1823,0.4348,4.8,13.8,9.3,18.3,13.8,13.8,9.3,13.8,13.8,13.8,9.3,13.8,13.8,17,0.75,2,,,,0.0833,,,,,,0.0833,
Charlie Woerner,ATL,TE,14,No,No,No,2,,No,Yes,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,0.5,
Amon-Ra St. Brown,DET,WR,63,No,No,No,18,11,No,Yes,10,0.9091,0.6111,10,0.9091,66,90,17,-25,0.3333,11,11,1,-2.2727,131.3,3.6667,6,0.6978,6.6,9,1.7,21.7143,21.7143,0.1746,18.6,28.6,23.6,28.6,28.6,28.6,23.6,28.6,28.6,28.6,23.6,28.6,28.6,17,0.0556,5,2,1,0.1,0.6111,5,,,,,,
David Moore,CAR,WR,21,No,No,No,9,1,No,Yes,1,1,0.1111,1,1,3,6,,-3,0.8889,1,1,1,-3,79.2,0.3333,3,-1.9408,3,6,,1.42,1.42,0.0476,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,17,,,,1,1,0.1111,,,,,,,
Chris Moore,ARZ,WR,3,Yes,No,Yes,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
Tutu Atwell,LA,WR,19,Yes,No,No,4,3,No,Yes,3,1,0.75,3,1,19,25,5,-6,0.5,3,3,1,-2,93.1,4.75,6.3333,0.7967,6.3333,8.3333,1.6667,4.1739,4.1739,0.1579,1.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,17,,1,,,,0.5,,,,,,,
Isaiah Williams,CIN,WR,1,Yes,No,No,1,1,No,Yes,1,1,1,1,1,2,6,6,-4,1,1,1,1,-4,79.2,2,2,-2.4851,2,6,6,1.4435,1.4435,1,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,8,,,,2,2,,,,,,,,
Adam Thielen,CAR,WR,12,No,No,No,7,3,No,Yes,2,0.6667,0.4286,2,0.6667,17,18,3,-2,0.1429,3,3,1,-0.6667,81.3,2.4286,5.6667,0.07,8.5,9,1.5,4.4763,4.4763,0.25,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,10,,,,,,0.8571,1,,,,,,
Elijah Higgins,ARZ,TE,12,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.5,,,,,,0.5,
Braelon Allen,NYJ,RB,21,Yes,No,No,12,6,No,Yes,6,1,0.5,4,0.6667,33,51,12,-25,,6,6,1,-4.1667,120.1,2.75,5.5,-0.2618,8.25,12.75,3,8.7363,8.7363,0.2857,9.3,13.3,11.3,15.3,13.3,13.3,11.3,13.3,13.3,13.3,11.3,13.3,13.3,17,0.8333,2,1,1,0.25,0.1667,1,,,2,0.3333,,
Josiah Deguara,JAX,TE,4,Yes,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,
Harrison Bryant,LV,TE,8,Yes,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,0.5,,,,,,0.5,
Tylan Wallace,BLT,WR,11,No,No,Yes,4,2,No,Yes,2,1,0.5,2,1,4,9,,-5,0.25,2,2,1,-2.5,79.2,1,2,-3.22,2,4.5,,2.7739,2.7739,0.1818,0.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,17,,,,,,0.75,1,,,,,,
Jonnu Smith,MIA,TE,67,Yes,No,No,35,22,No,Yes,21,0.9545,0.6286,18,0.8182,145,191,47,-55,0.2857,22,22,1,-2.5,109.3,4.1429,6.5909,1.253,8.0556,10.6111,2.6111,36.5821,36.5821,0.3284,20.5,38.5,29.5,38.5,47.5,41.5,32.5,38.5,38.5,38.5,29.5,47.5,38.5,17,0.1143,7,1,4,0.2222,0.2857,5,1,,2,0.0909,0.3143,
Johnny Wilson,PHI,WR,13,Yes,No,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,
Erik Ezukanma,MIA,WR,2,No,No,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,20,No,No,No,14,9,No,Yes,9,1,0.6429,8,0.8889,41,86,38,-48,,9,9,1,-5.3333,122.7,2.9286,4.5556,-0.8376,5.125,10.75,4.75,15.6321,15.6321,0.45,10.1,18.1,14.1,22.1,18.1,18.1,14.1,18.1,18.1,18.1,14.1,18.1,18.1,17,0.8571,2,1,2,0.25,0.1429,1,1,,,,,
Quentin Johnston,LAC,WR,32,Yes,No,Yes,12,9,No,Yes,9,1,0.75,9,1,55,77,27,-22,0.8333,9,9,1,-2.4444,92.1,4.5833,6.1111,1.053,6.1111,8.5556,3,13.0736,13.0736,0.2812,5.5,14.5,10,14.5,14.5,14.5,10,14.5,14.5,14.5,10,14.5,14.5,15,,2,,1,0.1111,0.1667,1,,,,,,
Blake Whiteheart,CLV,TE,8,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,1,,,,,,,
MarShawn Lloyd,GB,RB,2,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,3,7,4,-4,,1,1,1,-4,79.2,1.5,3,-2.5699,3,7,4,1.7023,1.7023,0.5,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1,,,,,,1,,,,,,,
Garrett Wilson,NYJ,WR,70,Yes,No,No,40,18,No,Yes,18,1,0.45,18,1,74,110,23,-36,0.725,18,18,1,-2,83.8,1.85,4.1111,-1.1631,4.1111,6.1111,1.2778,28.5655,28.5655,0.2571,5.4,23.4,14.4,23.4,23.4,23.4,12.4,21.4,21.4,21.4,12.4,23.4,21.4,17,,3,,9,0.5,0.275,4,,,,,,
Deuce Vaughn,DAL,RB,3,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,1.863,1.863,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,
Jeff Wilson,MIA,RB,6,Yes,No,No,5,1,No,Yes,1,1,0.2,1,1,6,9,1,-3,,1,1,1,-3,91.7,1.2,6,-0.1191,6,9,1,1.6179,1.6179,0.1667,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,9,0.8,,,,,0.2,,,,,,,
Kenny McIntosh,SEA,RB,4,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,1,
Dyami Brown,WAS,WR,43,No,No,No,28,20,No,Yes,20,1,0.7143,20,1,99,165,55,-66,0.6429,20,20,1,-3.3,87.3,3.5357,4.95,0.0783,4.95,8.25,2.75,31.5786,31.5786,0.4651,8.9,28.9,18.9,28.9,28.9,28.9,17.9,27.9,27.9,27.9,17.9,28.9,27.9,16,,6,,7,0.35,0.3571,1,,,,,,
Ty Johnson,BUF,RB,18,Yes,No,No,12,4,No,Yes,4,1,0.3333,4,1,62,87,10,-25,,4,4,1,-6.25,158.3,5.1667,15.5,10.3001,15.5,21.75,2.5,7.3316,7.3316,0.2222,12.2,16.2,14.2,18.2,16.2,16.2,14.2,16.2,16.2,16.2,14.2,16.2,16.2,17,0.75,3,1,,,0.1667,2,,,,,0.0833,
Van Jefferson,PIT,WR,27,Yes,No,No,8,1,No,Yes,1,1,0.125,1,1,1,6,,-5,0.625,1,1,1,-5,79.2,0.125,1,-3.1596,1,6,,2.0667,2.0667,0.037,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,17,,,,,,0.375,1,,,,,,
Derrick Henry,BLT,RB,29,No,No,Yes,5,5,No,Yes,5,1,1,5,1,74,104,25,-30,,5,5,1,-6,118.8,14.8,14.8,9.6664,14.8,20.8,5,7.9424,7.9424,0.1724,7.4,12.4,9.9,14.9,12.4,12.4,9.9,12.4,12.4,12.4,9.9,12.4,12.4,17,1,3,,4,0.8,,1,,,,,,
