Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsContestedTotal,AlignmentBackfieldRoutesPercentage,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TargetedReadFirstTotal
Joe Mixon,HST,RB,21,No,Yes,No,17,13,No,No,9,0.6923,0.7647,9,0.6923,74,69,24,13,,,1,83.5,4.3529,5.6923,-0.6073,8.2222,7.6667,2.6667,19.9053,19.9053,0.619,7.4,16.4,11.9,20.9,16.4,16.4,11.9,16.4,16.4,16.4,11.9,16.4,16.4,2,14,0.0588,,0.9412,2,1,0.1111,,,,,,
Kristian Wilkerson,LV,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
James Proche,CLV,WR,2,No,No,Yes,2,1,No,No,1,1,0.5,1,1,3,4,4,-1,,0.5,-1,79.2,1.5,3,-3.1699,3,4,4,1.4522,1.4522,0.5,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,9,0.5,,,,1,1,,,,,,
Aaron Jones,MIN,RB,19,No,No,No,14,10,No,Yes,10,1,0.7143,9,0.9,65,40,8,23,0.0714,,2.3,93.8,4.6429,6.5,-0.0348,7.2222,4.4444,0.8889,14.8509,14.8509,0.5263,5.5,14.5,10,19,14.5,14.5,9,13.5,13.5,13.5,9,14.5,13.5,2,17,,,0.9286,,,,1,0.1,,,,
Luke Farrell,JAX,TE,11,No,Yes,No,7,2,No,Yes,2,1,0.2857,2,1,4,,,4,0.5714,0.2857,2,79.2,0.5714,2,-4.0486,2,,,2.9081,2.9081,0.1818,0.4,2.4,1.4,2.4,3.4,2.4,1.4,2.4,2.4,2.4,1.4,3.4,2.4,,17,0.1429,1,,,,,,,1,,,
Luke Musgrave,GB,TE,3,No,No,No,3,2,No,Yes,2,1,0.6667,2,1,10,8,3,2,0.6667,0.3333,1,87.5,3.3333,5,-0.6116,5,4,1.5,5.0984,5.0984,0.6667,1,3,2,3,4,3,2,3,3,3,2,4,3,,7,,,,1,,,,,,,,1
Christian Kirk,JAX,WR,13,Yes,No,No,13,,No,Yes,,,,,,,,,,,0.8462,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.1538,,,,,,,,,,,
D'Ernest Johnson,JAX,RB,9,No,Yes,No,9,5,No,Yes,3,0.6,0.5556,2,0.4,15,11,7,4,,0.1111,0.8,47.9,1.6667,3,-3.1464,7.5,5.5,3.5,7.193,7.193,0.5556,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,1,13,,1,0.8889,,1,0.5,,,,,,
Theo Johnson,NYG,TE,21,No,Yes,No,20,4,No,Yes,4,1,0.2,2,0.5,18,13,5,11,0.5,0.35,2.75,62.5,0.9,4.5,-1.7822,9,6.5,2.5,5.3495,5.3495,0.1905,1.8,3.8,2.8,3.8,4.8,3.8,2.8,3.8,3.8,3.8,2.8,4.8,3.8,,12,0.1,1,0.05,,,,2,0.5,1,,,
Jahan Dotson,PHI,WR,29,No,Yes,No,29,2,No,Yes,1,0.5,0.069,1,0.5,5,4,-1,1,0.0345,0.1379,0.5,56.3,0.1724,2.5,-3.0798,5,4,-1,2.6369,2.6369,0.069,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,17,0.8276,,,,,,,,,,,
DeVonta Smith,PHI,WR,28,Yes,Yes,No,28,,No,Yes,,,,,,,,,,,0.6071,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.3929,,,,,,,,,,,
Jalen McMillan,TB,WR,27,Yes,Yes,No,26,1,No,Yes,1,1,0.0385,1,1,3,5,2,-2,,0.0385,-2,79.2,0.1154,3,-2.4991,3,5,2,1.7404,1.7404,0.037,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,13,0.9615,,,,,,,,,,,
E.J. Jenkins,PHI,TE,4,No,Yes,No,4,,No,Yes,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,
Jameson Williams,DET,WR,25,No,No,No,25,1,No,Yes,1,1,0.04,1,1,9,14,3,-5,,0.32,-5,104.2,0.36,9,4.8404,9,14,3,1.3667,1.3667,0.04,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,15,0.68,,,1,,,,,,,,
Eric Gray,NYG,RB,5,No,Yes,No,4,3,No,Yes,3,1,0.75,3,1,9,8,,1,0.25,,0.3333,79.2,2.25,3,-2.7945,3,2.6667,,3.9669,3.9669,0.6,0.9,3.9,2.4,5.4,3.9,3.9,2.4,3.9,3.9,3.9,2.4,3.9,3.9,,16,,,0.75,,,,,,,,,
Trenton Irwin,CIN,WR,4,No,Yes,No,4,,No,Yes,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.25,,,,,,,,,,,
Tucker Fisk,LAC,TE,5,No,No,No,5,1,No,No,1,1,0.2,1,1,,1,,-1,0.8,,-1,79.2,,,-4.9014,,1,,1.3579,1.3579,0.2,,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1.5,1,,9,,,0.2,,,,,,,,,
Brian Robinson,WAS,RB,11,No,No,No,9,7,No,No,6,0.8571,0.7778,6,0.8571,44,34,10,8,,0.1111,1.1429,92.9,4.8889,6.2857,-0.1881,7.3333,5.6667,1.6667,10.4866,10.4866,0.6364,4.4,10.4,7.4,13.4,10.4,10.4,7.4,10.4,10.4,10.4,7.4,10.4,10.4,,14,,,0.8889,1,1,0.1667,,,,,,
Alvin Kamara,NO,RB,37,Yes,Yes,No,36,31,No,No,26,0.8387,0.8611,21,0.6774,124,119,15,22,,0.0556,0.7097,75.2,3.4444,4,-2.057,5.9048,5.6667,0.7143,46.2158,46.2158,0.8378,12.4,33.4,22.9,43.9,33.4,36.4,25.9,33.4,33.4,33.4,22.9,33.4,33.4,2,14,0.0278,1,0.9167,6,1,0.0476,4,0.129,,,,
Ray-Ray McCloud,ATL,WR,31,Yes,Yes,No,31,1,No,Yes,1,1,0.0323,1,1,6,11,,-5,,0.6129,-5,91.7,0.1935,6,1.8404,6,11,,1.4929,1.4929,0.0323,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,17,0.3871,,,,,,,,,,,
Eric Saubert,SF,TE,7,Yes,Yes,No,7,1,No,No,1,1,0.1429,1,1,4,,,4,0.2857,0.2857,4,83.3,0.5714,4,-2.0667,4,,,1.5114,1.5114,0.1429,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,17,0.4286,,,,,,,,,,,
Chris Collier,LV,RB,1,No,No,No,1,1,No,No,,,1,,,,,,,,,,39.6,,,-5.8271,,,,1.5191,1.5191,1,,,,,,,,,,,,,,,6,,,1,,,,,,,,,
Justyn Ross,KC,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
Malik Nabers,NYG,WR,26,No,Yes,No,26,,No,Yes,,,,,,,,,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.9231,,,,,,,,,,,
Raheem Blackshear,CAR,RB,1,Yes,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,1,,,,,,,,,
Demario Douglas,NE,WR,25,No,No,No,25,2,No,Yes,2,1,0.08,2,1,8,14,2,-6,,0.96,-3,83.3,0.32,4,-0.9408,4,7,1,2.9585,2.9585,0.08,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,,17,0.04,,,,,,,,,,,
Sione Vaki,DET,RB,2,No,No,No,2,1,No,No,1,1,0.5,1,1,12,14,4,-2,,,-2,116.7,6,12,5.802,12,14,4,1.2747,1.2747,0.5,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,11,,,1,1,,,,,,,,
Alexander Mattison,LV,RB,20,No,No,No,17,15,No,No,14,0.9333,0.8824,14,0.9333,128,136,53,-5,,0.1176,-0.3333,96.7,7.5294,8.5333,2.4228,9.1429,9.7143,3.7857,22.2975,22.2975,0.75,18.8,32.8,25.8,39.8,32.8,35.8,28.8,32.8,32.8,32.8,25.8,32.8,32.8,,14,,,0.8824,3,5,0.3571,,,,,1,
Cade Otton,TB,TE,33,No,No,No,25,4,No,Yes,3,0.75,0.16,2,0.5,16,9,2,8,0.64,0.28,2,20.8,0.64,4,-1.9832,8,4.5,1,7.1171,7.1171,0.1212,1.6,3.6,2.6,3.6,4.6,3.6,2.6,3.6,3.6,3.6,2.6,4.6,3.6,,14,0.08,,,,,,1,0.25,,,,
Taysom Hill,NO,TE,7,No,Yes,Yes,7,3,No,Yes,2,0.6667,0.4286,2,0.6667,12,9,2,7,0.2857,0.2857,2.3333,74.3,1.7143,4,-2.0707,6,4.5,1,4.2913,4.2913,0.4286,1.2,3.2,2.2,3.2,4.2,3.2,2.2,3.2,3.2,3.2,2.2,4.2,3.2,,8,0.1429,,0.2857,,,,,,,,,
Tank Dell,HST,WR,30,Yes,Yes,No,30,3,No,No,3,1,0.1,3,1,8,19,1,-11,,0.1333,-3.6667,79.2,0.2667,2.6667,-1.5484,2.6667,6.3333,0.3333,5.3509,5.3509,0.1,0.8,3.8,2.3,3.8,3.8,3.8,2.3,3.8,3.8,3.8,2.3,3.8,3.8,1,14,0.8667,,,,,,,,,,,
Xavier Weaver,ARZ,WR,6,Yes,Yes,No,6,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
Gus Edwards,LAC,RB,7,No,No,No,5,2,No,Yes,2,1,0.4,2,1,3,4,1,-1,,0.2,-0.5,79.2,0.6,1.5,-4.4637,1.5,2,0.5,2.933,2.933,0.2857,0.3,2.3,1.3,3.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,,11,,,0.8,,,,,,,,,
Rakim Jarrett,TB,WR,5,Yes,Yes,No,5,,No,Yes,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.4,,,,,,,,,,,
Julian Hill,MIA,TE,6,Yes,Yes,No,4,1,No,Yes,1,1,0.25,1,1,4,2,1,2,1,,2,83.3,1,4,-2.3701,4,2,1,1.628,1.628,0.1667,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,16,,,,,,,,,,,,
Dameon Pierce,HST,RB,3,No,Yes,No,3,,No,No,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,0.6667,,,,,,,,,
Blake Corum,LA,RB,2,Yes,Yes,Yes,2,1,No,Yes,1,1,0.5,1,1,7,4,1,3,,,3,95.8,3.5,7,0.4906,7,4,1,1.5384,1.5384,0.5,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,15,,,1,,,,,,,,,
Pierre Strong,CLV,RB,8,No,No,No,8,4,No,Yes,3,0.75,0.5,2,0.5,8,9,4,11,0.25,0.125,2.75,56.3,1,2,-4.9349,4,4.5,2,5.6521,5.6521,0.5,0.8,2.8,1.8,3.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,,13,,1,0.625,,,,,,,,,
Jacob Kibodi,CLV,RB,2,No,No,Yes,2,2,No,No,,,1,,,,,,6,,,3,,,,-6.5094,,,,2.661,2.661,1,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,
Breece Hall,NYJ,RB,37,Yes,Yes,No,29,23,No,Yes,20,0.8696,0.7931,18,0.7826,232,236,63,-5,0.069,,-0.2174,137.7,8,10.087,4.1095,12.8889,13.1111,3.5,35.9041,35.9041,0.6216,35.2,53.2,44.2,62.2,53.2,56.2,47.2,53.2,53.2,53.2,44.2,53.2,53.2,2,16,,,0.931,8,10,0.5556,2,0.087,,,2,
Trent Sherfield,MIN,WR,4,No,No,No,4,1,No,Yes,1,1,0.25,1,1,17,13,,4,,0.75,4,118.8,4.25,17,10.9502,17,13,,1.4828,1.4828,0.25,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,17,0.25,,,1,,,,,,,,
Tyquan Thornton,NE,WR,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,
DK Metcalf,SEA,WR,37,Yes,Yes,Yes,36,,No,Yes,,,,,,,,,,,0.0278,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.9722,,,,,,,,,,,
Mark Andrews,BLT,TE,22,No,No,Yes,19,4,No,No,4,1,0.2105,4,1,26,24,6,2,0.2105,0.6842,0.5,93.8,1.3684,6.5,1.0497,6.5,6,1.5,5.3099,5.3099,0.1818,2.6,6.6,4.6,6.6,8.6,6.6,4.6,6.6,6.6,6.6,4.6,8.6,6.6,,17,0.1053,,,1,,,,,,,,
Parker Washington,JAX,WR,16,No,Yes,No,16,,No,Yes,,,,,,,,,,,0.4375,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5625,,,,,,,,,,,
MyCole Pruitt,PIT,TE,8,No,Yes,Yes,4,3,No,Yes,2,0.6667,0.75,2,0.6667,2,8,4,-12,0.75,,-4,70.1,0.5,0.6667,-5.6157,1,4,2,4.3404,4.3404,0.375,0.2,2.2,1.2,2.2,3.2,2.2,1.2,2.2,2.2,2.2,1.2,3.2,2.2,,12,,,0.25,,,,,,,,,
Allen Robinson,DET,WR,2,No,No,No,2,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,
Kendre Miller,NO,RB,4,No,Yes,No,3,3,No,Yes,3,1,1,2,0.6667,1,4,1,-1,,,-0.3333,70.1,0.3333,0.3333,-5.6645,0.5,2,0.5,4.5043,4.5043,0.75,0.1,2.1,1.1,3.1,2.1,2.1,1.1,2.1,2.1,2.1,1.1,2.1,2.1,,6,,,1,,,,1,0.3333,,,,
Diontae Johnson,HST,WR,31,No,Yes,No,31,,No,No,,,,,,,,,,,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.9677,,,,,,,,,,,
Erick All,CIN,TE,9,No,No,No,8,2,No,Yes,2,1,0.25,1,0.5,,3,1,-5,0.625,0.125,-2.5,56.3,,,-5.3581,,3,1,3.1254,3.1254,0.2222,,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1.5,1,,9,0.25,,,,,,1,0.5,,,,
Jonnu Smith,MIA,TE,21,Yes,Yes,No,18,6,No,Yes,5,0.8333,0.3333,4,0.6667,29,36,6,-14,0.3889,0.3333,-2.3333,77.8,1.6111,4.8333,-1.0735,7.25,9,1.5,8.9455,8.9455,0.2857,2.9,6.9,4.9,6.9,8.9,6.9,4.9,6.9,6.9,6.9,4.9,8.9,6.9,,17,0.2778,,,1,,,1,0.1667,,,,
Harrison Bryant,LV,TE,3,No,No,No,2,1,No,No,1,1,0.5,1,1,12,11,5,1,1,,1,116.7,6,12,6.2246,12,11,5,1.4989,1.4989,0.3333,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,13,,,,1,1,1,,,,,,
Tylan Wallace,BLT,WR,8,No,No,Yes,8,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,
Josiah Deguara,JAX,TE,3,No,Yes,No,3,1,No,Yes,1,1,0.3333,1,1,4,2,1,2,,0.3333,2,83.3,1.3333,4,-2.3701,4,2,1,1.35,1.35,0.3333,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,13,0.6667,,,,,,,,,,,
Braelon Allen,NYJ,RB,8,Yes,Yes,No,6,5,No,Yes,3,0.6,0.8333,3,0.6,16,17,6,2,,,0.4,65.4,2.6667,3.2,-2.8061,5.3333,5.6667,2,6.8738,6.8738,0.625,1.6,4.6,3.1,6.1,4.6,4.6,3.1,4.6,4.6,4.6,3.1,4.6,4.6,,17,,,1,,,,,,,,,
Elijah Higgins,ARZ,TE,14,Yes,Yes,No,14,6,No,No,6,1,0.4286,6,1,53,56,25,-3,0.3571,0.5,-0.5,103.5,3.7857,8.8333,2.9838,8.8333,9.3333,4.1667,10.6721,10.6721,0.4286,5.3,11.3,8.3,11.3,14.3,11.3,8.3,11.3,11.3,11.3,8.3,14.3,11.3,,17,0.0714,,0.0714,3,4,0.6667,,,,,,
Adam Thielen,CAR,WR,15,Yes,Yes,No,14,1,No,Yes,1,1,0.0714,1,1,4,7,3,-3,,0.6429,-3,83.3,0.2857,4,-0.9408,4,7,3,1.858,1.858,0.0667,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,10,0.3571,,,,,,,,,,,
Tutu Atwell,LA,WR,15,Yes,Yes,Yes,15,,No,Yes,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.6,,,,,,,,,,,
David Moore,CAR,WR,11,Yes,Yes,No,11,,No,Yes,,,,,,,,,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.9091,,,,,,,,,,,
Justin Shorter,LV,TE,1,No,Yes,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,30,No,No,No,30,1,No,Yes,1,1,0.0333,1,1,5,5,1,,,0.2667,,87.5,0.1667,5,-1.0386,5,5,1,2.8028,2.8028,0.0333,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,17,0.7333,,,,,,,,,,,
Isaiah Williams,CIN,WR,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,
Charlie Woerner,ATL,TE,11,Yes,Yes,No,8,2,No,Yes,2,1,0.25,2,1,10,10,2,,0.5,0.25,,87.5,1.25,5,-1.0935,5,5,1,3.1057,3.1057,0.1818,1,3,2,3,4,3,2,3,3,3,2,4,3,,16,0.25,,,1,,,,,,,,
Josh Palmer,LAC,WR,22,No,Yes,Yes,22,,No,Yes,,,,,,,,,,,0.1818,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.8182,,,,,,,,,,,
Antonio Gibson,NE,RB,12,No,No,No,11,11,No,Yes,11,1,1,11,1,125,110,36,15,,,1.3636,114,11.3636,11.3636,5.149,11.3636,10,3.2727,16.8609,16.8609,0.9167,12.5,23.5,18,29,23.5,26.5,21,23.5,23.5,23.5,18,23.5,23.5,2,17,,1,1,6,4,0.3636,,,1,1,,
Jeff Wilson,MIA,RB,4,Yes,Yes,No,3,1,No,Yes,1,1,0.3333,1,1,7,6,1,1,,,1,95.8,2.3333,7,1.2706,7,6,1,1.6235,1.6235,0.25,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,9,,,1,,,,,,,,,
Deuce Vaughn,DAL,RB,2,No,No,No,2,2,No,No,2,1,1,2,1,10,11,6,-1,,,-0.5,87.5,5,5,-0.9637,5,5.5,3,2.9568,2.9568,1,1,3,2,4,3,3,2,3,3,3,2,3,3,,6,,,1,,2,1,,,,,,
Dyami Brown,WAS,WR,14,No,No,No,14,1,No,No,1,1,0.0714,1,1,24,24,22,,,0.1429,,118.8,1.7143,24,17.9614,24,24,22,1.1808,1.1808,0.0714,2.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,,16,0.8571,,,1,2,2,,,,,,
Garrett Wilson,NYJ,WR,48,Yes,Yes,No,46,,No,Yes,,,,,,,,,,,0.1957,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8043,,,,,,,,,,,
Chris Manhertz,NYG,TE,6,No,Yes,No,3,,No,Yes,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,
Cody Schrader,LA,RB,1,Yes,Yes,Yes,1,1,No,Yes,1,1,1,1,1,6,6,2,,,,,91.7,6,6,0.1729,6,6,2,1.2433,1.2433,1,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,1,,,1,,,,,,,,,
Blake Whiteheart,CLV,TE,5,No,No,Yes,4,1,No,No,1,1,0.25,1,1,5,3,,2,0.5,0.25,2,87.5,1.25,5,-1.3701,5,3,,1.4126,1.4126,0.2,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,11,,,0.25,,,,,,,,,
Emanuel Wilson,GB,RB,6,No,No,No,4,2,No,Yes,1,0.5,0.5,1,0.5,2,,,,,,,56.3,0.5,1,-5.2963,2,,,3.6529,3.6529,0.3333,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1,17,,,1,1,,,,,,,,
Quentin Johnston,LAC,WR,16,No,No,No,16,,No,No,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.9375,,,,,,,,,,,
Johnny Wilson,PHI,WR,9,No,Yes,No,9,1,No,Yes,1,1,0.1111,1,1,9,6,6,3,0.1111,0.3333,3,104.2,1,9,3.5501,9,6,6,1.3701,1.3701,0.1111,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,16,0.5556,,,1,1,1,,,,,,
Cam Grandy,CIN,TE,1,No,Yes,Yes,1,1,No,Yes,1,1,1,1,1,,1,,-1,,1,-1,79.2,,,-4.9014,,1,,1.554,1.554,1,,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1.5,1,,8,,,,,,,,,,,,
Elijah Moore,CLV,WR,30,No,No,Yes,30,4,No,No,4,1,0.1333,4,1,10,14,2,-4,,0.4667,-1,79.2,0.3333,2.5,-3.1004,2.5,3.5,0.5,6.543,6.543,0.1333,1,5,3,5,5,5,3,5,5,5,3,5,5,1,17,0.5333,,,,,,,,,,,
Malachi Corley,NYJ,WR,4,No,No,Yes,4,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.5,,,,,,,,,,,
Rachaad White,TB,RB,21,Yes,Yes,No,20,13,No,Yes,11,0.8462,0.65,11,0.8462,58,66,24,-15,,0.05,-1.1538,110.9,2.9,4.4615,-1.4333,5.2727,6,2.1818,20.6236,20.6236,0.619,11.8,22.8,17.3,28.3,22.8,22.8,17.3,22.8,22.8,22.8,17.3,22.8,22.8,2,16,,,0.95,1,1,0.0909,,,,,1,
Xavier Worthy,KC,WR,28,Yes,No,No,28,2,No,Yes,2,1,0.0714,2,1,14,16,2,-2,,0.4286,-1,95.8,0.5,7,1.2312,7,8,1,2.7434,2.7434,0.0714,1.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,17,0.5357,,0.0357,1,1,0.5,,,,,,
Zach Charbonnet,SEA,RB,28,Yes,Yes,Yes,25,17,No,Yes,16,0.9412,0.68,16,0.9412,90,101,29,-11,0.08,0.04,-0.6471,64.2,3.6,5.2941,-0.6588,5.625,6.3125,1.8125,24.2803,24.2803,0.6071,9,25,17,33,25,25,17,25,25,25,17,25,25,1,17,0.08,,0.8,1,5,0.3125,,,,,,
Chuba Hubbard,CAR,RB,33,No,No,Yes,31,24,No,Yes,23,0.9583,0.7742,22,0.9167,97,99,38,-2,,0.0968,-0.0833,83.5,3.129,4.0417,-1.8313,4.4091,4.5,1.7273,37.5763,37.5763,0.7273,7.7,29.7,18.7,40.7,29.7,29.7,16.7,27.7,27.7,27.7,16.7,29.7,27.7,3,15,0.0323,1,0.871,6,3,0.1364,,,,,,
Jared Wayne,HST,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,
AJ Barner,SEA,TE,21,Yes,Yes,Yes,20,8,No,Yes,7,0.875,0.4,7,0.875,42,45,18,-2,0.5,0.4,-0.25,128.1,2.1,5.25,-0.4451,6,6.4286,2.5714,11.8963,11.8963,0.381,10.2,17.2,13.7,17.2,20.7,17.2,13.7,17.2,17.2,17.2,13.7,20.7,17.2,1,17,0.05,,0.05,3,1,0.1429,,,,,1,
Kareem Hunt,KC,RB,12,No,Yes,No,11,7,No,Yes,4,0.5714,0.6364,4,0.5714,20,25,9,-8,0.0909,,-1.1429,62.2,1.8182,2.8571,-2.9255,5,6.25,2.25,10.409,10.409,0.5833,2,6,4,8,6,6,4,6,6,6,4,6,6,2,13,,1,0.9091,1,,,,,1,,,
Brandon Powell,MIN,WR,6,No,No,No,5,,No,Yes,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.2,,,,,,,,,,,
Derrick Henry,BLT,RB,10,No,No,Yes,8,5,No,No,5,1,0.625,5,1,42,40,8,2,,,0.4,141.3,5.25,8.4,2.1717,8.4,8,1.6,7.4199,7.4199,0.5,10.2,15.2,12.7,17.7,15.2,15.2,12.7,15.2,15.2,15.2,12.7,15.2,15.2,2,17,,,1,3,1,0.2,,,,,1,
Robert Tonyan,MIN,TE,2,Yes,No,No,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Ty Johnson,BUF,RB,9,No,No,No,9,8,No,Yes,6,0.75,0.8889,6,0.75,48,37,19,23,,,2.875,129.2,5.3333,6,-0.7205,8,6.1667,3.1667,13.5518,13.5518,0.8889,10.8,16.8,13.8,19.8,16.8,16.8,13.8,16.8,16.8,16.8,13.8,16.8,16.8,2,17,,,1,4,1,0.1667,,,,,1,
Van Jefferson,PIT,WR,30,No,Yes,Yes,29,1,No,Yes,,,0.0345,,,,,,-1,,0.1724,-1,39.6,,,-6.1699,,,,1.3579,1.3579,0.0333,,,,,,,,,,,,,,,17,0.8276,,,,,,,,,,,
