Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetedReadFirstTotal,DropsTotal,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,TargetedReadDesignTotal,TargetedReadDesignPercentage
Josh Oliver,MIN,TE,25,Yes,Yes,No,22,4,No,Yes,3,0.75,0.1818,3,0.75,27,18,7,16,0.8636,0.1364,,4,92.7,1.2273,6.75,0.1751,9,6,2.3333,7.4874,7.4874,0.16,2.7,5.7,4.2,5.7,7.2,5.7,4.2,5.7,5.7,5.7,4.2,7.2,5.7,15,1,,,,1,,,,,,,,,,,,
Nick Chubb,CLV,RB,20,No,No,No,12,1,No,Yes,1,1,0.0833,1,1,10,6,3,4,,,,4,108.3,0.8333,10,3.3381,10,6,3,1.3418,1.3418,0.05,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,8,,,,,1,,1,,,,,,,,,,
Michael Carter,ARZ,RB,9,No,No,No,7,1,Yes,Yes,1,1,0.1429,1,1,9,8,4,1,,,0.1429,1,104.2,1.2857,9,3.2706,9,8,4,2.0605,2.0605,0.1111,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,3,,,,,,1,0.8571,1,1,,,,,,,,
Tyjae Spears,TEN,RB,38,No,Yes,No,36,6,Yes,Yes,5,0.8333,0.1667,5,0.8333,18,11,6,13,0.0556,0.0833,0.0278,2.1667,79.2,0.5,3,-3.281,3.6,2.2,1.2,9.4961,9.4961,0.1579,1.8,6.8,4.3,9.3,6.8,6.8,4.3,6.8,6.8,6.8,4.3,6.8,6.8,12,3,,,,,1,0.8333,,,,,,,,,,
Laviska Shenault,LAC,WR,3,No,No,No,2,1,No,Yes,1,1,0.5,1,1,2,6,2,-4,,1,,-4,79.2,1,2,-2.4851,2,6,2,1.7181,1.7181,0.3333,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,12,1,,,,,,,,,,,,,,,,
Trayveon Williams,CIN,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,56,No,Yes,No,39,1,No,Yes,1,1,0.0256,1,1,9,8,2,1,,0.0769,0.1795,1,104.2,0.2308,9,3.2706,9,8,2,1.1013,1.1013,0.0179,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,15,,,,,,,0.7436,,,,,,,,,,
Isaiah Hodgins,NYG,WR,6,No,No,No,6,2,Yes,Yes,2,1,0.3333,2,1,12,2,,10,,0.6667,0.3333,5,91.7,2,6,-0.4995,6,1,,2.6881,2.6881,0.3333,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3,1,,,,,,,,,,,,,,,,
Zamir White,LV,RB,15,No,No,No,13,,No,Yes,,,,,,,,,,,,0.2308,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,0.7692,,,,,,,,,,
Ameer Abdullah,LV,RB,54,No,No,No,45,6,No,Yes,6,1,0.1333,5,0.8333,42,28,9,18,,0.0222,0.1111,3,95.8,0.9333,7,0.4843,8.4,5.6,1.8,8.8155,8.8155,0.1111,4.2,9.2,6.7,11.7,9.2,9.2,6.7,9.2,9.2,9.2,6.7,9.2,9.2,16,2,1,,0.1667,3,,0.8667,1,0.2,,,,,,,,
Trey Sermon,IND,RB,22,No,No,No,17,1,Yes,Yes,1,1,0.0588,1,1,10,7,3,3,,,0.1765,3,108.3,0.5882,10,3.4906,10,7,3,1.3487,1.3487,0.0455,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,17,,,,,,,0.8235,,,,,,,,,,
Josh Downs,IND,WR,48,No,No,No,48,17,Yes,Yes,15,0.8824,0.3542,12,0.7059,105,18,9,122,,0.9375,0.0625,7.1765,81.7,2.1875,6.1765,-1.0647,8.75,1.5,0.75,28.7007,28.7007,0.3542,16.5,28.5,22.5,28.5,28.5,31.5,25.5,28.5,28.5,28.5,22.5,28.5,28.5,14,16,1,,0.0588,6,3,,1,0.0833,4,1,2,,1,1,,
Devaughn Vele,DEN,WR,45,No,No,No,44,10,No,Yes,10,1,0.2273,9,0.9,94,15,4,89,,0.7045,0.2727,8.9,105.8,2.1364,9.4,1.8385,10.4444,1.6667,0.4444,15.4805,15.4805,0.2222,9.4,18.4,13.9,18.4,18.4,18.4,13.9,18.4,18.4,18.4,13.9,18.4,18.4,13,7,1,1,0.1,4,1,0.0227,,,1,,1,1,,,,
Khalil Herbert,CIN,RB,14,No,No,No,10,,No,Yes,,,,,,,,,,0.1,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,0.7,,,,,,,,,,
Tyler Allgeier,ATL,RB,19,No,No,No,13,1,No,Yes,1,1,0.0769,1,1,11,7,7,4,,,0.0769,4,112.5,0.8462,11,4.3381,11,7,7,1.4333,1.4333,0.0526,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,17,,,,,,,0.9231,2,2,,,,,,,,
Stephen Sullivan,CAR,TE,1,Yes,No,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Foster Moreau,NO,TE,43,No,No,Yes,37,11,No,Yes,8,0.7273,0.2973,7,0.6364,55,20,10,81,0.7027,0.2432,0.0541,7.3636,106.3,1.4865,5,-2.3626,7.8571,2.8571,1.4286,21.3313,21.3313,0.2558,11.5,18.5,15,18.5,22,18.5,15,18.5,18.5,18.5,15,22,18.5,17,6,1,,0.0909,4,3,,,,,2,,,1,1,,
Jermar Jefferson,DET,RB,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,
Dareke Young,SEA,WR,1,No,No,No,1,1,No,Yes,,,1,,,,,,9,,,1,9,39.6,,,-7.4539,,,,1.5704,1.5704,1,,,,,,,,,,,,,,12,1,,,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,50,No,No,Yes,50,11,No,Yes,10,0.9091,0.22,9,0.8182,82,26,11,69,0.4,0.44,0.16,6.2727,97.7,1.64,7.4545,0.5158,9.1111,2.8889,1.2222,17.1041,17.1041,0.22,8.2,17.2,12.7,17.2,21.7,17.2,12.7,17.2,17.2,17.2,12.7,21.7,17.2,17,8,,,,3,1,,,,2,,1,,,,,
David Montgomery,DET,RB,29,No,No,No,22,3,No,Yes,3,1,0.1364,3,1,25,17,2,8,,,,2.6667,101.4,1.1364,8.3333,1.8496,8.3333,5.6667,0.6667,4.2963,4.2963,0.1034,2.5,5.5,4,7,5.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,14,1,,,,2,,1,2,0.6667,1,,1,,,,,
Mack Hollins,BUF,WR,61,No,Yes,No,61,17,No,Yes,16,0.9412,0.2787,13,0.7647,148,45,7,144,,0.2951,0.7049,8.4706,121.7,2.4262,8.7059,1.062,11.3846,3.4615,0.5385,30.5972,30.5972,0.2787,20.8,33.8,27.3,33.8,33.8,36.8,30.3,33.8,33.8,33.8,27.3,33.8,33.8,17,9,,,,12,1,,,,2,1,1,,1,1,,
Tyler Boyd,TEN,WR,75,No,Yes,No,75,13,Yes,Yes,12,0.9231,0.1733,10,0.7692,90,29,23,94,,0.8267,0.1733,7.2308,63,1.2,6.9231,-0.1203,9,2.9,2.3,20.769,20.769,0.1733,9,19,14,19,19,19,14,19,19,19,14,19,19,16,8,,,,4,1,,1,0.1,3,,1,,,,,
Andrew Ogletree,IND,TE,24,No,No,No,15,2,Yes,Yes,2,1,0.1333,1,0.5,15,10,,14,0.4667,0.4,0.1333,7,114.6,1,7.5,0.6302,15,10,,5.1007,5.1007,0.0833,7.5,8.5,8,8.5,9,8.5,8,8.5,8.5,8.5,8,9,8.5,17,1,1,,0.5,1,2,,,,,,,,1,,,
Jaylen Warren,PIT,RB,36,No,No,No,31,5,No,Yes,5,1,0.1613,4,0.8,47,43,9,3,0.0645,0.0323,0.0645,0.6,105.8,1.5161,9.4,3.1488,11.75,10.75,2.25,7.3258,7.3258,0.1389,4.7,8.7,6.7,10.7,8.7,8.7,6.7,8.7,8.7,8.7,6.7,8.7,8.7,15,2,,,,2,,0.8387,,,1,,,,,,1,0.2
Kendrick Bourne,NE,WR,47,No,Yes,No,47,12,No,Yes,10,0.8333,0.2553,10,0.8333,109,39,25,99,,0.2979,0.7021,8.25,104.5,2.3191,9.0833,1.5166,10.9,3.9,2.5,24.0759,24.0759,0.2553,10.9,20.9,15.9,20.9,20.9,23.9,18.9,20.9,20.9,20.9,15.9,20.9,20.9,12,10,,,,4,,,,,1,,1,1,,,,
Hassan Haskins,LAC,RB,15,No,No,No,11,,No,Yes,,,,,,,,,,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,0.9091,,,,,,,,,,
Jauan Jennings,SF,WR,72,No,No,No,72,28,Yes,Yes,25,0.8929,0.3889,23,0.8214,274,89,58,234,,0.4028,0.5972,8.3571,107.4,3.8056,9.7857,2.2725,11.913,3.8696,2.5217,42.0491,42.0491,0.3889,27.4,50.4,38.9,50.4,50.4,53.4,41.9,50.4,50.4,50.4,38.9,50.4,50.4,15,22,1,,0.0357,11,2,,5,0.2174,7,,6,,,,,
Teagan Quitoriano,HST,TE,5,No,No,No,3,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,8,No,No,No,7,2,Yes,Yes,1,0.5,0.2857,1,0.5,13,8,3,24,,0.7143,0.2857,12,70.8,1.8571,6.5,-2.6475,13,8,3,3.5261,3.5261,0.25,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,15,2,,,,1,,,,,,,,,,,,
Tanner Conner,MIA,TE,1,No,No,Yes,1,1,No,Yes,1,1,1,1,1,11,4,2,7,,1,,7,112.5,11,11,3.6922,11,4,2,1.5355,1.5355,1,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,7,1,,,,1,,,,,,,,,,,,
Quintin Morris,BUF,TE,15,No,Yes,No,13,2,No,Yes,2,1,0.1538,1,0.5,7,2,1,10,0.2308,0.4615,0.3077,5,58.3,0.5385,3.5,-2.98,7,2,1,2.9267,2.9267,0.1333,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,16,1,1,,0.5,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,37,No,No,No,33,7,No,Yes,6,0.8571,0.2121,5,0.7143,37,9,5,46,0.1818,0.6364,0.1818,6.5714,123.2,1.1212,5.2857,-1.9834,7.4,1.8,1,12.6611,12.6611,0.1892,9.7,14.7,12.2,14.7,17.2,14.7,12.2,14.7,14.7,14.7,12.2,17.2,14.7,16,4,1,,0.1429,2,1,,,,1,1,1,,1,1,,
Jalen Nailor,MIN,WR,61,Yes,Yes,No,61,7,No,Yes,6,0.8571,0.1148,5,0.7143,52,15,5,53,,0.459,0.541,7.5714,92.6,0.8525,7.4286,0.2186,10.4,3,1,10.1824,10.1824,0.1148,5.2,10.2,7.7,10.2,10.2,10.2,7.7,10.2,10.2,10.2,7.7,10.2,10.2,17,4,,,,2,,,,,1,,,,,,,
John Metchie,HST,WR,23,No,No,No,23,3,No,Yes,2,0.6667,0.1304,2,0.6667,29,8,,25,,0.6522,0.3478,8.3333,58.3,1.2609,9.6667,2.175,14.5,4,,4.8455,4.8455,0.1304,2.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,13,1,,,,1,,,,,,,,,,,,
Marquise Brown,KC,WR,4,No,Yes,No,4,1,No,Yes,1,1,0.25,1,1,3,-2,-1,5,,0.25,0.75,5,79.2,0.75,3,-3.3628,3,-2,-1,1.5947,1.5947,0.25,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,2,1,,,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,37,No,No,No,37,6,No,Yes,4,0.6667,0.1622,4,0.6667,24,3,2,49,,0.8378,0.1622,8.1667,74.3,0.6486,4,-3.5274,6,0.75,0.5,11.2957,11.2957,0.1622,1.4,5.4,3.4,5.4,5.4,5.4,2.4,4.4,4.4,4.4,2.4,5.4,4.4,17,4,,,,,1,,,,,,,,,,,
Jamison Crowder,WAS,WR,13,No,No,No,13,3,No,Yes,2,0.6667,0.2308,2,0.6667,22,-1,,39,,0.8462,0.1538,13,88.2,1.6923,7.3333,-1.8188,11,-0.5,,4.6432,4.6432,0.2308,2.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,6,1,,,,1,,,,,1,,1,,,,,
Jordan Mims,NO,RB,6,No,No,Yes,4,1,No,Yes,1,1,0.25,1,1,6,,,6,0.25,0.25,,6,91.7,1.5,6,-1.7086,6,,,2.9957,2.9957,0.1667,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,9,1,,,,,,0.5,,,,,,,,,,
David Bell,CLV,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Kevin Austin,NO,WR,26,No,No,Yes,25,2,No,Yes,2,1,0.08,1,0.5,4,1,1,14,,0.2,0.8,7,56.3,0.16,2,-4.8825,4,1,1,2.8268,2.8268,0.0769,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,8,1,,,,1,,,,,1,,,,,,,
Jalen Brooks,DAL,WR,38,No,No,No,37,6,No,Yes,5,0.8333,0.1622,4,0.6667,41,10,7,59,,0.2162,0.7838,9.8333,86.1,1.1081,6.8333,-1.2138,10.25,2.5,1.75,10.5967,10.5967,0.1579,4.1,8.1,6.1,8.1,8.1,8.1,6.1,8.1,8.1,8.1,6.1,8.1,8.1,14,4,,,,3,,,1,0.25,1,,,,,,,
Kenneth Gainwell,PHI,RB,19,No,Yes,No,16,2,No,Yes,1,0.5,0.125,1,0.5,9,9,6,4,,0.0625,0.3125,2,62.5,0.5625,4.5,-1.7445,9,9,6,4.2843,4.2843,0.1053,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,17,1,,,,,,0.625,1,1,,,,,,,,
Casey Washington,ATL,WR,1,No,No,Yes,1,1,Yes,Yes,1,1,1,1,1,14,11,10,3,,,1,3,118.8,14,14,8.5501,14,11,10,1.4062,1.4062,1,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2,1,,,,1,,,,,,,,,,,,
Jordan Whittington,LA,WR,20,No,No,No,20,4,No,Yes,4,1,0.2,4,1,25,16,7,9,,0.4,0.6,2.25,92.7,1.25,6.25,0.5131,6.25,4,1.75,5.4974,5.4974,0.2,2.5,6.5,4.5,6.5,6.5,6.5,4.5,6.5,6.5,6.5,4.5,6.5,6.5,15,2,,,,,,,,,,,,,,,1,0.25
Josh Whyle,TEN,TE,36,No,No,No,28,11,No,Yes,10,0.9091,0.3929,10,0.9091,63,14,7,43,0.5357,0.3571,0.1071,3.9091,90.5,2.25,5.7273,-0.8883,6.3,1.4,0.7,17.3594,17.3594,0.3056,6.3,16.3,11.3,16.3,21.3,16.3,11.3,16.3,16.3,16.3,11.3,21.3,16.3,17,7,,,,4,1,,,,1,,1,,,,,
Travis Etienne,JAX,RB,49,No,No,No,39,2,Yes,Yes,2,1,0.0513,1,0.5,5,1,1,9,,0.0256,0.0256,4.5,56.3,0.1282,2.5,-4.4474,5,1,1,2.7691,2.7691,0.0408,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,15,1,,,,,,0.9487,,,,,,,,,,
Samaje Perine,KC,RB,31,No,No,No,25,1,No,Yes,1,1,0.04,1,1,22,,,11,0.04,0.08,,11,158.3,0.88,22,8.2642,22,,,2.8368,2.8368,0.0323,8.2,9.2,8.7,9.7,9.2,9.2,8.7,9.2,9.2,9.2,8.7,9.2,9.2,17,,,,,1,1,0.88,,,,1,,,1,1,,
J.K. Dobbins,LAC,RB,51,No,No,No,33,1,No,Yes,1,1,0.0303,1,1,7,3,,4,,0.1212,0.0606,4,95.8,0.2121,7,0.3381,7,3,,1.5114,1.5114,0.0196,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,13,,,,,,,0.8182,,,,,,,,,,
Emari Demercado,ARZ,RB,22,No,No,No,12,1,No,Yes,1,1,0.0833,1,1,9,5,2,4,,,0.1667,4,104.2,0.75,9,2.3381,9,5,2,1.44,1.44,0.0455,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,13,1,,,,,,0.8333,,,,,,,,,,
Dare Ogunbowale,HST,RB,22,No,No,No,17,1,No,Yes,1,1,0.0588,1,1,2,5,1,-3,,0.2353,0.0588,-3,79.2,0.1176,2,-4.1191,2,5,1,1.6362,1.6362,0.0455,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,17,,,,,,,0.7059,,,,,,,,,,
Nico Collins,HST,WR,47,No,No,No,46,11,No,Yes,8,0.7273,0.2391,5,0.4545,52,5,4,139,,0.2826,0.7174,12.6364,90,1.1304,4.7273,-4.2328,10.4,1,0.8,21.1629,21.1629,0.234,11.2,16.2,13.7,16.2,16.2,16.2,13.7,16.2,16.2,16.2,13.7,16.2,16.2,12,8,2,2,0.1818,4,1,,,,,1,,,1,1,,
Jerry Jeudy,CLV,WR,123,No,No,Yes,123,36,No,Yes,29,0.8056,0.2927,28,0.7778,247,31,15,271,,0.3008,0.6911,7.5278,95.3,2.0081,6.8611,-0.4234,8.8214,1.1071,0.5357,54.0182,54.0182,0.2927,24.7,52.7,38.7,52.7,52.7,55.7,41.7,52.7,52.7,52.7,38.7,52.7,52.7,17,31,,,,14,1,0.0081,2,0.0714,3,,2,1,,,,
Jake Ferguson,DAL,TE,66,No,No,No,65,13,No,Yes,12,0.9231,0.2,11,0.8462,95,42,25,66,0.2923,0.6615,0.0308,5.0769,97.1,1.4615,7.3077,0.5721,8.6364,3.8182,2.2727,23.335,23.335,0.197,8.5,19.5,14,19.5,25,19.5,13,18.5,18.5,18.5,13,25,18.5,14,9,,,,4,,0.0154,3,0.2727,1,,,,,,,
Davante Adams,NYJ,WR,81,No,No,Yes,77,24,No,Yes,20,0.8333,0.3117,15,0.625,140,46,20,163,,0.4416,0.5584,6.7917,92.4,1.8182,5.8333,-1.1818,9.3333,3.0667,1.3333,38.422,38.422,0.2963,20,35,27.5,35,35,38,30.5,35,35,35,27.5,35,35,14,20,1,,0.0417,8,3,,2,0.1333,6,2,3,1,1,1,,
Equanimeous St. Brown,NO,WR,4,No,No,No,4,,No,No,,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Ronnie Rivers,LA,RB,8,No,No,No,7,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,1,,,,,,,,,,
Amari Cooper,BUF,WR,62,No,No,No,61,21,Yes,Yes,15,0.7143,0.3443,12,0.5714,128,34,7,167,,0.2131,0.7869,7.9524,75.1,2.0984,6.0952,-1.4296,10.6667,2.8333,0.5833,35.384,35.384,0.3387,12.8,24.8,18.8,24.8,24.8,27.8,21.8,24.8,24.8,24.8,18.8,24.8,24.8,14,17,3,,0.1429,5,,,1,0.0833,2,,1,1,,,,
Darius Slayton,NYG,WR,110,No,Yes,No,109,24,No,Yes,22,0.9167,0.2202,19,0.7917,209,42,16,216,,0.2202,0.7798,9,103,1.9174,8.7083,0.9017,11,2.2105,0.8421,36.8311,36.8311,0.2182,20.9,39.9,30.4,39.9,39.9,42.9,33.4,39.9,39.9,39.9,30.4,39.9,39.9,16,17,2,,0.0833,15,,,4,0.2105,5,,5,,,,,
Connor Heyward,PIT,TE,9,No,Yes,No,9,3,No,Yes,3,1,0.3333,2,0.6667,11,1,1,15,0.1111,0.4444,0.4444,5,72.9,1.2222,3.6667,-3.1902,5.5,0.5,0.5,4.4025,4.4025,0.3333,1.1,3.1,2.1,3.1,4.1,3.1,2.1,3.1,3.1,3.1,2.1,4.1,3.1,16,1,,,,2,,,,,1,,,,,,,
Adonai Mitchell,IND,WR,39,No,No,No,39,12,Yes,Yes,9,0.75,0.3077,6,0.5,83,7,4,146,,0.2051,0.7949,12.1667,72.6,2.1282,6.9167,-2.1151,13.8333,1.1667,0.6667,17.6311,17.6311,0.3077,8.3,14.3,11.3,14.3,14.3,14.3,11.3,14.3,14.3,14.3,11.3,14.3,14.3,17,11,2,,0.1667,6,1,,,,1,,,1,,,,
Nick Westbrook-Ikhine,TEN,WR,76,No,No,No,76,10,No,Yes,7,0.7,0.1316,6,0.6,50,16,11,71,,0.1842,0.8158,7.1,72.9,0.6579,5,-2.0414,8.3333,2.6667,1.8333,15.1141,15.1141,0.1316,5,11,8,11,11,11,8,11,11,11,8,11,11,17,7,1,,0.1,5,1,,,,1,,,,,,,
Jake Bobo,SEA,WR,36,No,No,No,36,5,No,Yes,5,1,0.1389,5,1,42,9,3,33,,0.3333,0.6667,6.6,101.7,1.1667,8.4,1.5255,8.4,1.8,0.6,8.977,8.977,0.1389,4.2,9.2,6.7,9.2,9.2,9.2,6.7,9.2,9.2,9.2,6.7,9.2,9.2,17,3,,,,3,,,1,0.2,1,,1,,,,,
Brevyn Spann-Ford,DAL,TE,26,No,No,No,20,1,No,Yes,1,1,0.05,,,,,,6,0.5,0.45,0.05,6,39.6,,,-7.093,,,,1.5099,1.5099,0.0385,,,,,,,,,,,,,,17,1,,,,,1,,,,1,,,,,,,
Tyler Higbee,LA,TE,5,No,No,No,4,2,No,Yes,2,1,0.5,2,1,23,12,5,11,1,,,5.5,114.6,5.75,11.5,4.8127,11.5,6,2.5,2.8457,2.8457,0.4,2.3,4.3,3.3,4.3,5.3,4.3,3.3,4.3,4.3,4.3,3.3,5.3,4.3,3,1,,,,1,,,,,,,,,,,,
Parris Campbell,PHI,WR,11,Yes,No,No,11,4,No,Yes,4,1,0.3636,4,1,16,7,2,17,,0.8182,0.1818,4.25,122.9,1.4545,4,-2.398,4,1.75,0.5,8.582,8.582,0.3636,7.6,11.6,9.6,11.6,11.6,11.6,9.6,11.6,11.6,11.6,9.6,11.6,11.6,5,3,,,,1,1,,,,,1,,,1,1,,
Marquez Valdes-Scantling,NO,WR,38,No,No,Yes,38,10,No,Yes,7,0.7,0.2632,4,0.4,117,84,7,103,,0.3684,0.6316,10.3,117.5,3.0789,11.7,3.5556,29.25,21,1.75,15.8379,15.8379,0.2632,17.7,21.7,19.7,21.7,21.7,24.7,22.7,21.7,21.7,21.7,19.7,21.7,21.7,14,6,,1,,3,,,,,3,,,,1,,,
Will Dissly,LAC,TE,57,No,No,No,50,14,No,Yes,14,1,0.28,13,0.9286,106,41,24,67,0.38,0.46,0.16,4.7857,98.2,2.12,7.5714,1.045,8.1538,3.1538,1.8462,20.3496,20.3496,0.2456,10.6,23.6,17.1,23.6,30.1,26.6,20.1,23.6,23.6,23.6,17.1,30.1,23.6,15,9,1,,0.0714,5,1,,1,0.0769,3,,2,,,,,
KhaDarel Hodge,ATL,WR,20,No,No,No,20,3,No,Yes,3,1,0.15,2,0.6667,49,40,40,13,,0.25,0.75,4.3333,149.3,2.45,16.3333,10.1792,24.5,20,20,4.5024,4.5024,0.15,10.9,12.9,11.9,12.9,12.9,12.9,11.9,12.9,12.9,12.9,11.9,12.9,12.9,16,2,1,,0.3333,2,1,,2,1,2,,2,,1,,,
Miles Sanders,CAR,RB,18,No,No,No,16,1,No,Yes,,,0.0625,,,,,,5,,0.3125,0.0625,5,39.6,,,-7.233,,,,1.5375,1.5375,0.0556,,,,,,,,,,,,,,11,1,,,,,1,0.625,,,,,,,,,,
Charlie Jones,CIN,WR,3,No,No,No,3,1,No,Yes,1,1,0.3333,1,1,5,,,5,,0.6667,0.3333,5,87.5,1.6667,5,-1.3628,5,,,1.6126,1.6126,0.3333,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,8,1,,,,,,,,,,,,,,,,
Rasheen Ali,BLT,RB,2,No,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,1,,,,,,,,,,
Saquon Barkley,PHI,RB,59,No,No,No,45,2,No,No,2,1,0.0444,2,1,50,41,38,9,,0.0444,0.1111,4.5,118.8,1.1111,25,18.1206,25,20.5,19,2.9472,2.9472,0.0339,5,7,6,8,7,7,6,7,7,7,6,7,7,16,,,,,1,,0.8444,2,1,,,,,,,,
Evan Engram,JAX,TE,48,No,No,Yes,46,18,No,Yes,16,0.8889,0.3913,13,0.7222,88,29,11,97,0.3478,0.4348,0.2174,5.3889,82.6,1.913,4.8889,-2.0195,6.7692,2.2308,0.8462,26.5322,26.5322,0.375,8.8,21.8,15.3,21.8,28.3,21.8,15.3,21.8,21.8,21.8,15.3,28.3,21.8,9,14,2,,0.1111,3,,,,,1,,,,,,,
Jamari Thrash,CLV,WR,16,No,No,Yes,16,1,No,Yes,1,1,0.0625,,,,,,11,,0.75,0.25,11,39.6,,,-8.3152,,,,1.5019,1.5019,0.0625,,,,,,,,,,,,,,9,1,1,,1,,,,,,,,,,,,,
Adam Trautman,DEN,TE,31,No,No,No,26,5,No,Yes,3,0.6,0.1923,1,0.2,7,2,1,22,0.5,0.3462,0.1538,4.4,39.6,0.2692,1.4,-5.058,7,2,1,6.9464,6.9464,0.1613,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,17,2,,,,,,,,,2,,,,,,,
