Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,YardsAfterContactTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerReceptionYardsAfterContact,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DeepTargetTargetsTotal,ReceptionsHero,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone
Brian Robinson,SF,RB,5,No,No,No,4,1,Yes,Yes,1,1,0.25,1,1,2,,2,1,2,79.2,0.5,2,-4.3947,2,,2.5492,2.5492,0.2,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,17,,,,,,,,,,,,,1,,,,,,,,
Alvin Kamara,NO,RB,5,Yes,No,No,1,1,No,Yes,1,1,1,1,1,26,31,-5,1,-5,118.8,26,26,20.1289,26,31,1.4146,1.4146,0.2,2.6,3.6,3.1,4.1,3.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,11,,1,,1,1,1,1,,,,,,,1,,,,,,,
Gunner Olszewski,NYG,WR,2,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,1,,,,,,,,,,,,,,,,,,
Travis Hunter,JAX,WR,11,No,No,Yes,11,4,No,Yes,4,1,0.3636,2,0.5,-2,3,12,,3,56.3,-0.1818,-0.5,-7.046,-1,1.5,6.6054,6.6054,0.3636,-0.2,1.8,0.8,1.8,1.8,1.8,0.8,1.8,1.8,1.8,0.8,1.8,1.8,7,0.5455,,0.4545,3,2,0.5,,2,,,,0.5,,,,,,,,,
Braxton Berrios,HST,WR,4,No,Yes,Yes,4,1,No,Yes,1,1,0.25,1,1,8,1,7,,7,100,2,8,0.9355,8,1,1.5757,1.5757,0.25,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,4,0.5,,0.5,1,,,,,,,,,,1,,,,,,,
DK Metcalf,PIT,WR,22,Yes,No,No,19,5,No,Yes,5,1,0.2632,,,,,47,,9.4,,,,-7.7395,,,9.8122,9.8122,0.2273,,,,,,,,,,,,,,15,0.1053,,0.8947,5,,,,2,,,,0.4,1,,1,,3,1,,,
Mark Andrews,BLT,TE,9,No,No,No,9,1,No,Yes,1,1,0.1111,1,1,9,1,8,,8,104.2,1,9,1.2795,9,1,1.2492,1.2492,0.1111,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,17,0.5556,,0.2222,,,,,,,,0.2222,,,1,,,,,,,
Parker Washington,JAX,WR,19,No,Yes,No,16,4,No,Yes,4,1,0.25,3,0.75,41,8,57,,14.25,107.3,2.5625,10.25,1.576,13.6667,2.6667,6.6917,6.6917,0.2105,4.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,16,0.625,3,0.375,3,,,1,,1,0.3333,,,,1,2,,,,,,
Evan Hull,NO,RB,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,9,No,No,No,7,4,No,No,4,1,0.5714,2,0.5,12,5,14,0.8571,3.5,56.3,1.7143,3,-4.105,6,2.5,9.1948,9.1948,0.4444,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,16,0.1429,1,,3,1,0.25,0.5,1,,,,0.25,2,1,,,1,1,,,
Trent Sherfield,ARZ,WR,3,No,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,1,,,,,,,,,,,,,,,,,,
Tyquan Thornton,KC,WR,6,Yes,Yes,Yes,6,1,Yes,Yes,1,1,0.1667,1,1,21,4,17,,17,118.8,3.5,21,9.3347,21,4,1.5826,1.5826,0.1667,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,14,,,1,,,,,,,,,,,1,,,,,,,
Julian Hill,MIA,TE,9,No,No,No,4,1,No,Yes,1,1,0.25,1,1,1,4,-3,,-3,79.2,0.25,1,-4.8652,1,4,1.8049,1.8049,0.1111,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,14,0.5,1,,1,,,1,,,,0.5,,,,,,,,,,
Dameon Pierce,KC,RB,1,Yes,No,No,1,,Yes,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
Blake Corum,LA,RB,12,No,Yes,No,10,2,No,Yes,2,1,0.2,1,0.5,3,2,4,1,2,56.3,0.3,1.5,-4.6194,3,2,2.6928,2.6928,0.1667,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,17,,,,,,,,1,,,,0.5,,,,,,,,,
Charlie Woerner,ATL,TE,4,No,Yes,Yes,2,,No,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
Mason Kinsey,TEN,WR,2,No,Yes,No,2,1,No,Yes,1,1,0.5,,,,,19,,19,39.6,,,-11.9321,,,1.44,1.44,0.5,,,,,,,,,,,,,,10,0.5,,0.5,1,,,,1,,,,1,,,,,,,,,
Omarion Hampton,LAC,RB,11,No,No,No,10,1,No,Yes,1,1,0.1,1,1,4,9,-5,1,-5,83.3,0.4,4,-1.8711,4,9,2.1182,2.1182,0.0909,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,9,,3,,1,1,1,3,,,,,,1,,,,,,,,
Josh Palmer,BUF,WR,6,No,No,No,5,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.4,,0.6,,,,,,,,,,,,,,,,,,
Antonio Gibson,NE,RB,1,No,No,Yes,1,,No,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
Chris Moore,WAS,WR,7,No,No,No,7,1,No,No,1,1,0.1429,,,,,34,,34,39.6,,,-14,,,2.6576,2.6576,0.1429,,,,,,,,,,,,,,14,0.1429,,0.8571,1,,,,1,,,,1,,,1,,1,,,,
Tutu Atwell,LA,WR,4,No,Yes,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,
David Moore,CAR,WR,2,Yes,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.5,,0.5,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,16,Yes,No,No,14,8,No,Yes,8,1,0.5714,6,0.75,63,14,73,,9.125,97.4,4.5,7.875,-0.3547,10.5,2.3333,16.2096,16.2096,0.5,6.3,12.3,9.3,12.3,12.3,12.3,9.3,12.3,12.3,12.3,9.3,12.3,12.3,17,0.4286,4,0.5714,7,,,0.6667,2,1,0.1667,,0.25,1,4,,1,1,1,1,,
Isaiah Williams,NYJ,WR,7,No,No,No,6,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.5,,0.5,,,,,,,,,,,,,,,,,,
Josiah Deguara,ARZ,TE,2,No,Yes,No,2,1,No,Yes,1,1,0.5,,,,,4,,4,39.6,,,-6.0667,,,1.4617,1.4617,0.5,,,,,,,,,,,,,,12,,,,,,,,,,,1,,,,,,1,,,,
Adam Thielen,PIT,WR,8,No,No,No,7,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.2857,,0.7143,,,,,,,,,,,,,,,,,,
Elijah Higgins,ARZ,TE,6,No,Yes,No,6,1,No,Yes,1,1,0.1667,1,1,7,3,4,,4,95.8,1.1667,7,0.9333,7,3,1.4195,1.4195,0.1667,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,17,0.3333,2,0.3333,1,,,2,,,,0.3333,,,1,,,,,,,
Jonnu Smith,PIT,TE,17,No,No,No,15,4,No,Yes,4,1,0.2667,3,0.75,13,14,15,,3.75,78.1,0.8667,3.25,-3.6788,4.3333,4.6667,5.8686,5.8686,0.2353,1.3,4.3,2.8,4.3,5.8,4.3,2.8,4.3,4.3,4.3,2.8,5.8,4.3,17,0.3333,4,0.2667,3,1,0.25,1.3333,1,,,0.4,0.25,,1,,,,,,,
Harrison Bryant,HST,TE,4,Yes,Yes,Yes,3,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,1,,,,,,,,,,
Tylan Wallace,BLT,WR,3,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,1,,,,,,,,,,,,,,,,,,
Mason Taylor,NYJ,TE,11,No,No,No,11,3,Yes,Yes,3,1,0.2727,1,0.3333,7,2,5,,1.6667,42.4,0.6364,2.3333,-3.4445,7,2,4.3009,4.3009,0.2727,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,13,0.1818,,0.6364,2,1,0.3333,,2,,,0.1818,0.6667,,,,,,,,,
Emanuel Wilson,GB,RB,7,No,No,No,4,2,No,No,2,1,0.5,1,0.5,4,9,-10,1,-5,56.3,1,2,-3.8711,4,9,2.9067,2.9067,0.2857,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,17,,4,,1,1,0.5,4,1,1,1,,0.5,,,,,,,,,
Quentin Johnston,LAC,WR,13,No,No,No,13,6,No,Yes,6,1,0.4615,4,0.6667,28,10,62,,10.3333,116.7,2.1538,4.6667,-2.8094,7,2.5,10.4987,10.4987,0.4615,8.8,12.8,10.8,12.8,12.8,12.8,10.8,12.8,12.8,12.8,10.8,12.8,12.8,14,0.0769,1,0.9231,4,,,0.25,1,,,,0.1667,3,2,1,,1,1,,1,1
Blake Whiteheart,CLV,TE,3,No,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.5,,,,,,,,,,0.5,,,,,,,,,,
Garrett Wilson,NYJ,WR,5,No,No,Yes,5,1,No,Yes,1,1,0.2,1,1,9,5,4,,4,143.8,1.8,9,2.9502,9,5,4.9718,4.9718,0.2,6.9,7.9,7.4,7.9,7.9,7.9,7.4,7.9,7.9,7.9,7.4,7.9,7.9,7,0.8,5,0.2,1,,,5,,1,1,,,1,1,,,,,,1,
Jeff Wilson,MIA,RB,2,No,No,No,2,,No,Yes,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.5,,,,,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,2,No,Yes,No,2,1,No,Yes,1,1,0.5,,,,,10,,10,39.6,,,-7.5,,,1.4516,1.4516,0.5,,,,,,,,,,,,,,17,,,1,1,,,,1,,,,1,,,,,,,,,
Elic Ayomanor,TEN,WR,19,No,Yes,No,13,2,No,Yes,2,1,0.1538,,,,,10,,5,39.6,,,-6.4225,,,3.9105,3.9105,0.1053,,,,,,,,,,,,,,16,0.1538,,0.8462,2,,,,2,,,,1,1,,,,,1,,,
Dyami Brown,JAX,WR,11,No,Yes,No,10,4,No,Yes,4,1,0.4,1,0.25,16,,59,,14.75,43.8,1.6,4,-4.8221,16,,8.2342,8.2342,0.3636,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,14,0.3,,0.7,3,,,,2,,,,0.5,1,,1,,2,,1,,
Luther Burden,CHI,WR,8,Yes,No,No,8,5,No,Yes,5,1,0.625,2,0.4,15,13,33,,6.6,47.9,1.875,3,-4.2653,7.5,6.5,7.3925,7.3925,0.625,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,15,0.125,7,0.875,3,1,0.2,3.5,3,1,0.5,,0.6,,,,,,,,,
Andre Baccellia,ARZ,WR,3,No,Yes,No,3,1,No,Yes,1,1,0.3333,1,1,5,-1,6,,6,87.5,1.6667,5,-1.9491,5,-1,1.804,1.804,0.3333,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,5,0.3333,,0.6667,1,,,,,,,,,1,,,,,,,,
Ty Johnson,BUF,RB,7,No,No,No,7,2,No,No,2,1,0.2857,2,1,2,8,-6,0.7143,-3,79.2,0.2857,1,-4.1291,1,4,2.5542,2.5542,0.2857,0.2,2.2,1.2,3.2,2.2,2.2,1.2,2.2,2.2,2.2,1.2,2.2,2.2,17,,1,0.2857,1,,,0.5,,,,,,,,,,,,,,
Van Jefferson,TEN,WR,9,No,No,No,8,1,No,No,1,1,0.125,1,1,43,,43,,43,118.8,5.375,43,28,43,,2.452,2.452,0.1111,4.3,5.3,4.8,5.3,5.3,5.3,4.8,5.3,5.3,5.3,4.8,5.3,5.3,16,0.125,,0.875,1,,,,,,,,,,1,1,1,1,,1,,
Kareem Hunt,KC,RB,2,Yes,No,No,2,,Yes,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
Derrick Henry,BLT,RB,4,No,No,No,4,1,No,Yes,1,1,0.25,1,1,7,8,-1,1,-1,95.8,1.75,7,1.181,7,8,1.4014,1.4014,0.25,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,17,,3,,1,,,3,,,,,,,,,,,,,,
Zach Charbonnet,SEA,RB,7,No,No,No,5,,Yes,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard,CAR,RB,9,No,Yes,No,8,,No,Yes,,,,,,,,,0.875,,,,,,,,1.3755,1.3755,,,,,,,,,,,,,,,15,,,0.125,,,,,,,,,,,,,,,,,,
Jared Wayne,HST,WR,2,No,No,No,2,1,No,Yes,1,1,0.5,1,1,3,1,2,,2,79.2,1.5,3,-2.3344,3,1,1.5092,1.5092,0.5,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1,0.5,1,0.5,1,,,1,,,,,,,,,,,,,,
AJ Barner,SEA,TE,10,No,No,No,9,4,Yes,Yes,4,1,0.4444,3,0.75,45,23,24,,6,111.5,5,11.25,3.6505,15,7.6667,8.0893,8.0893,0.4,4.5,7.5,6,7.5,9,7.5,6,7.5,7.5,7.5,6,9,7.5,17,0.2222,7,,2,,,2.3333,,1,0.3333,0.7778,,1,2,1,,1,,,,
Rachaad White,TB,RB,9,No,Yes,No,7,,No,Yes,,,,,,,,,0.7143,,,,,,,,,,,,,,,,,,,,,,,,17,0.1429,,0.1429,,,,,,,,,,,,,,,,,,
Elijah Moore,BUF,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.5,,0.5,,,,,,,,,,,,,,,,,,
Xavier Worthy,KC,WR,7,No,Yes,No,6,,No,Yes,,,,,,,,,,,,,,,,,1.3449,1.3449,,,,,,,,,,,,,,,14,0.5,,0.5,,,,,,,,,,,,,,,,,,
Darren Waller,MIA,TE,11,No,No,Yes,11,3,Yes,Yes,3,1,0.2727,1,0.3333,,,14,,4.6667,42.4,,,-6.7837,,,4.2465,4.2465,0.2727,,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1.5,1,9,0.4545,,0.3636,3,,,,,,,0.1818,,,,,,3,,1,,
Pat Freiermuth,PIT,TE,16,No,No,No,14,3,No,Yes,3,1,0.2143,2,0.6667,18,5,17,,5.6667,82.6,1.2857,6,-0.7557,9,2.5,4.1276,4.1276,0.1875,1.8,3.8,2.8,3.8,4.8,3.8,2.8,3.8,3.8,3.8,2.8,4.8,3.8,17,0.5,1,0.1429,2,,,0.5,,,,0.3571,,,1,,,1,,,,
Isiah Pacheco,KC,RB,8,No,Yes,No,6,,No,Yes,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,13,,,0.3333,,,,,,,,,,,,,,,,,,
Calvin Austin,PIT,WR,11,No,No,No,11,2,No,Yes,2,1,0.1818,2,1,17,4,13,,6.5,102.1,1.5455,8.5,1.4932,8.5,2,2.9267,2.9267,0.1818,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,14,0.4545,,0.5455,2,,,,,,,,,,,,,1,,1,,
Ronnie Bell,NO,WR,2,No,Yes,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,17,No,Yes,Yes,13,1,No,Yes,1,1,0.0769,1,1,3,2,1,0.6923,1,79.2,0.2308,3,-2.7294,3,2,1.5482,1.5482,0.0588,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,17,0.2308,1,0.0769,1,,,1,,,,,,,,,,,,,,
LeQuint Allen,JAX,RB,10,No,Yes,No,8,1,No,Yes,1,1,0.125,1,1,6,10,-4,1,-4,91.7,0.75,6,0.4301,6,10,1.2795,1.2795,0.1,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,17,,4,,1,1,1,4,,,,,,,,,,,,,,
Colston Loveland,CHI,TE,14,Yes,No,No,11,1,No,Yes,1,1,0.0909,1,1,8,-1,9,,9,100,0.7273,8,0.7404,8,-1,1.3541,1.3541,0.0714,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,16,0.2727,,0.3636,1,,,,,,,0.3636,,,,,,1,,1,,
Jeremy Ruckert,NYJ,TE,6,No,No,No,5,1,No,No,1,1,0.2,1,1,4,1,3,,3,83.3,0.8,4,-2.3218,4,1,1.3607,1.3607,0.1667,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,17,0.2,1,0.4,,,,1,,,,0.4,,,1,,,1,,1,,
Kalif Raymond,DET,WR,7,Yes,No,No,6,1,No,Yes,1,1,0.1667,1,1,7,,7,,7,95.8,1.1667,7,-0.0645,7,,1.5584,1.5584,0.1429,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,15,0.5,,0.5,1,,,,,,,,,,,,,1,,1,,
Darnell Mooney,ATL,WR,17,No,Yes,Yes,16,2,No,Yes,2,1,0.125,,,,,19,,9.5,39.6,,,-7.9318,,,4.4713,4.4713,0.1176,,,,,,,,,,,,,,15,0.375,,0.625,2,,,,2,,,,1,,,,,,,,,
Isaac TeSlaa,DET,WR,5,Yes,No,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.2,,0.8,,,,,,,,,,,,,,,,,,
Allen Lazard,NYJ,WR,4,No,Yes,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.6667,,0.3333,,,,,,,,,,,,,,,,,,
Hunter Renfrow,CAR,WR,4,Yes,No,No,4,1,No,Yes,1,1,0.25,1,1,5,1,4,,4,87.5,1.25,5,-1.0498,5,1,1.5677,1.5677,0.25,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,6,1,,,1,,,,,,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,17,No,No,No,16,2,No,No,2,1,0.125,,,,,9,,4.5,39.6,,,-6.2063,,,2.9012,2.9012,0.1176,,,,,,,,,,,,,,17,0.6875,,0.3125,2,,,,,,,,,,,,,2,,,,
Jaylin Noel,HST,WR,6,Yes,Yes,Yes,6,2,Yes,Yes,2,1,0.3333,1,0.5,5,2,20,,10,56.3,0.8333,2.5,-6.0576,5,2,3.6029,3.6029,0.3333,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,17,0.6667,,0.3333,2,,,,1,,,,0.5,1,1,,,,,,,
Zay Jones,ARZ,WR,3,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,1,,,,,,,,,,,,,,,,,,
Ashton Jeanty,LV,RB,9,Yes,No,No,2,,Yes,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
Kyle Monangai,CHI,RB,10,Yes,No,No,8,4,No,Yes,4,1,0.5,1,0.25,,-1,4,0.75,1,39.6,,,-6.2317,,-1,5.4927,5.4927,0.4,,1,0.5,1.5,1,1,0.5,1,1,1,0.5,1,1,17,,,0.125,1,1,0.25,,3,,,0.125,0.75,,,,,,,,,
Stefon Diggs,NE,WR,4,No,No,No,4,1,No,Yes,1,1,0.25,1,1,3,2,1,,1,79.2,0.75,3,-2.1211,3,2,1.2849,1.2849,0.25,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,17,0.75,,0.25,,,,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,3,No,Yes,No,3,1,No,Yes,1,1,0.3333,1,1,4,9,-5,0.6667,-5,83.3,1.3333,4,-1.8711,4,9,1.306,1.306,0.3333,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,2,0.3333,4,,,,,4,,,,,,,,,,,,,,
Devontez Walker,BLT,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,1,,,,,,,,,,,,,,,,,,
Dylan Drummond,ATL,WR,4,No,Yes,Yes,4,1,No,Yes,1,1,0.25,,,,,10,,10,39.6,,,-7.5,,,2.6797,2.6797,0.25,,,,,,,,,,,,,,9,0.5,,0.5,,,,,,,,,,1,,,,1,1,,,
Drew Sample,CIN,TE,6,No,No,No,3,2,No,No,2,1,0.6667,2,1,-3,1,-4,,-2,79.2,-1,-1.5,-6.8833,-1.5,0.5,2.9227,2.9227,0.3333,-0.3,1.7,0.7,1.7,2.7,1.7,0.7,1.7,1.7,1.7,0.7,2.7,1.7,17,,1,,1,,,0.5,,,,1,,,,,,,,,,
Daniel Bellinger,NYG,TE,9,No,Yes,No,7,1,No,Yes,1,1,0.1429,1,1,29,30,-1,,-1,158.3,4.1429,29,24.0986,29,30,1.3511,1.3511,0.1111,8.9,9.9,9.4,9.9,10.4,9.9,9.4,9.9,9.9,9.9,9.4,10.4,9.9,16,0.4286,25,,1,1,1,25,,1,1,0.5714,,,1,,,,,,1,
Chase Brown,CIN,RB,7,No,No,No,6,2,No,No,2,1,0.3333,2,1,24,21,3,1,1.5,116.7,4,12,5.938,12,10.5,2.5529,2.5529,0.2857,2.4,4.4,3.4,5.4,4.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,17,,12,,,,,6,,2,1,,,,1,,1,,,,,
Tanner Hudson,CIN,TE,3,No,No,No,3,1,No,No,1,1,0.3333,,,,,4,,4,39.6,,,-6.0667,,,2.1358,2.1358,0.3333,,,,,,,,,,,,,,13,0.3333,,0.6667,1,,,,,,,,,1,,,,1,,,,
Kyren Williams,LA,RB,20,No,Yes,No,18,4,No,Yes,4,1,0.2222,3,0.75,18,8,5,1,1.25,83.3,1,4.5,-1.8974,6,2.6667,6.6737,6.6737,0.2,1.8,4.8,3.3,6.3,4.8,4.8,3.3,4.8,4.8,4.8,3.3,4.8,4.8,17,,1,,1,,,0.3333,1,,,,0.25,3,1,,,,,,,
Payne Durham,TB,TE,2,No,Yes,No,2,1,No,Yes,1,1,0.5,,,,,-2,,-2,39.6,,,-4.8511,,,1.5361,1.5361,0.5,,,,,,,,,,,,,,17,0.5,,,1,,,,1,,,0.5,1,,,,,,,,,
Tucker Kraft,GB,TE,6,No,No,No,4,1,No,Yes,1,1,0.25,,,,,2,,2,39.6,,,-6.3701,,,1.4847,1.4847,0.1667,,,,,,,,,,,,,,8,0.5,,,,,,,1,,,0.5,1,,,,,1,,,,
Will Shipley,PHI,RB,4,No,No,No,3,2,No,No,2,1,0.6667,2,1,14,-1,15,1,7.5,95.8,4.6667,7,0.2789,7,-0.5,2.6876,2.6876,0.5,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,15,,,,1,,,,,,,,,,1,,,,,,,
Cam Skattebo,NYG,RB,5,No,No,Yes,3,1,Yes,Yes,1,1,0.3333,,,,,,1,,39.6,,,-5.8271,,,1.4339,1.4339,0.2,,,,,,,,,,,,,,8,,,,,,,,1,,,,1,,,,,,,,,
Dont'e Thornton,LV,WR,5,Yes,No,No,5,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.2,,0.8,,,,,,,,,,,,,,,,,,
John Bates,WAS,TE,4,No,No,No,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,1,,,,,,,,,,
Trey McBride,ARZ,TE,16,No,Yes,No,16,4,No,Yes,4,1,0.25,3,0.75,24,8,28,,7,89.6,1.5,6,-1.5196,8,2.6667,7.9488,7.9488,0.25,2.4,5.4,3.9,5.4,6.9,5.4,3.9,5.4,5.4,5.4,3.9,6.9,5.4,17,0.75,5,,4,1,0.25,1.6667,,,,0.25,,1,2,,1,2,,1,,
Dontayvion Wicks,GB,WR,9,No,No,No,7,2,No,Yes,2,1,0.2857,2,1,12,1,11,,5.5,131.3,1.7143,6,-1.1769,6,0.5,5.8851,5.8851,0.2222,7.2,9.2,8.2,9.2,9.2,9.2,8.2,9.2,9.2,9.2,8.2,9.2,9.2,14,0.4286,,0.4286,2,,,,,,,0.1429,,1,2,,,,,,1,
Malik Davis,DAL,RB,1,No,No,No,1,,No,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
Dawson Knox,BUF,TE,8,No,No,No,7,2,No,No,2,1,0.2857,1,0.5,9,2,9,,4.5,62.5,1.2857,4.5,-2.3389,9,2,2.9882,2.9882,0.25,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,17,0.2857,,0.1429,2,,,,1,,,0.5714,0.5,,1,,,,,,,
Noah Brown,WAS,WR,3,No,Yes,Yes,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,
