Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,AlignmentInlineRoutesPercentage,AlignmentBackfieldRoutesPercentage,ReceptionsHero,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Ihmir Smith-Marsette,NYG,WR,1,No,No,No,1,No,No,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Jaylen Wright,MIA,RB,3,Yes,No,No,2,No,Yes,0.5,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,
Austin Hooper,NE,TE,9,No,No,Yes,8,No,Yes,0.25,,17,2,1,2,1,,0.25,2,1,1,64,59,1,,,1,29.5,2,158.3,8,32,24.279,,32,2,4.0231,4.0231,0.2222,12.4,14.4,13.4,14.4,15.4,14.4,13.4,14.4,14.4,14.4,13.4,15.4,14.4,,5,1,2.5,0.5,0.75,,,,
Justin Watson,KC,WR,8,No,No,No,8,No,No,0.375,0.625,17,3,,2,0.6667,1,0.375,1,,0.3333,17,97,,,1,2,32.3333,2,53.5,2.125,5.6667,-6.0205,0.3333,17,1,6.8184,6.8184,0.375,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,1,,1,,,,,,
Rashee Rice,KC,WR,1,Yes,No,Yes,1,No,Yes,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Chandler,MIN,RB,4,No,No,Yes,2,No,Yes,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Curtis Samuel,BUF,WR,9,No,No,Yes,9,No,Yes,0.7778,0.2222,14,1,,,,,0.1111,,,,,18,,,,,18,,39.6,,,-10.8991,,,,1.6833,1.6833,0.1111,,,,,,,,,,,,,,,,,,,,,,,
Tanner Hudson,CIN,TE,3,No,No,No,2,No,No,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Najee Harris,PIT,RB,2,No,No,No,2,No,No,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Chase Brown,CIN,RB,12,Yes,Yes,No,9,Yes,Yes,0.1111,0.1111,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111,0.6667,,,
Austin Ekeler,WAS,RB,6,Yes,No,No,4,No,Yes,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaheim Bell,NE,TE,2,No,No,Yes,2,No,Yes,0.5,,13,1,,1,1,,0.5,1,,1,19,18,,,,1,18,,118.8,9.5,19,6.0268,,19,1,1.7615,1.7615,0.5,1.9,2.9,2.4,2.9,3.4,2.9,2.4,2.9,2.9,2.9,2.4,3.4,2.9,,1,,1,,0.5,,,,
Devontez Walker,BLT,WR,1,No,No,Yes,1,No,No,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Bellinger,NYG,TE,3,No,No,No,2,No,No,0.5,0.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Sample,CIN,TE,10,No,No,No,6,No,No,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,0.3333,,,
Zay Jones,ARZ,WR,3,Yes,No,No,3,No,Yes,0.3333,0.6667,11,,,,,,,,,,,,,,,,,,,,,,,,,3.2207,3.2207,,,,,,,,,,,,,,,,,,,,,,,,
Irv Smith,HST,TE,2,No,Yes,No,1,No,Yes,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Stefon Diggs,HST,WR,16,No,No,No,16,No,No,0.4375,0.5625,8,6,,3,0.5,,0.375,3,,0.5,63,110,,,,6,18.3333,1,87.5,3.9375,10.5,-0.5733,,21,3,10.8025,10.8025,0.375,6.3,9.3,7.8,9.3,9.3,9.3,7.8,9.3,9.3,9.3,7.8,9.3,9.3,,6,2,2,0.6667,,,,,
Ben Sinnott,WAS,TE,3,Yes,No,No,3,No,Yes,0.6667,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,
Darnell Mooney,ATL,WR,21,No,No,No,21,No,No,0.4286,0.5714,16,8,2,7,0.875,1,0.381,6,1,0.75,161,187,3,,1,6,23.375,4,116.7,7.6667,20.125,8.4877,0.125,26.8333,6,19.3291,19.3291,0.381,34.1,40.1,37.1,40.1,40.1,43.1,40.1,40.1,40.1,40.1,37.1,40.1,40.1,1,43,21,7.1667,3.5,,,1,3,0.5
Jeremy Ruckert,NYJ,TE,7,Yes,No,No,5,No,Yes,0.6,,17,1,1,1,1,,0.2,,,,,18,,,,1,18,,39.6,,,-12.9732,,,,1.8642,1.8642,0.1429,,,,,,,,,,,,,,,,,,,0.4,,,,
Kalif Raymond,DET,WR,4,No,Yes,Yes,4,No,No,0.25,0.75,12,2,,1,0.5,,0.5,1,,0.5,21,37,,,,1,18.5,1,87.5,5.25,10.5,-0.1673,,21,1,2.4217,2.4217,0.5,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,,,,,,,,,,
Andrei Iosivas,CIN,WR,17,No,No,No,17,No,No,0.5294,0.4706,17,5,2,3,0.6,,0.2941,3,2,0.6,72,107,,,,3,21.4,3,104.2,4.2353,14.4,3.0142,,24,3,9.466,9.466,0.2941,7.2,10.2,8.7,10.2,10.2,10.2,8.7,10.2,10.2,10.2,8.7,10.2,10.2,,6,3,2,1,,,1,,
Brandon Aiyuk,SF,WR,13,Yes,No,No,13,No,No,0.0769,0.9231,7,4,2,3,0.75,,0.3077,2,1,0.5,37,60,,,,2,15,,82.3,2.8462,9.25,-0.932,,18.5,2,8.7824,8.7824,0.3077,3.7,5.7,4.7,5.7,5.7,5.7,4.7,5.7,5.7,5.7,4.7,5.7,5.7,,7,3,3.5,1.5,,,,1,0.5
Allen Lazard,NYJ,WR,20,Yes,No,No,20,No,Yes,0.45,0.55,12,8,2,5,0.625,1,0.4,5,2,0.625,175,204,2,1,,6,25.5,5,106.3,8.75,21.875,10.5887,,35,5,14.8081,14.8081,0.4211,29.5,34.5,32,34.5,34.5,37.5,35,34.5,34.5,34.5,32,34.5,34.5,1,24,4,4.8,0.8,,,1,,
Dallas Goedert,PHI,TE,2,No,No,No,2,No,No,0.5,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,
Roschon Johnson,CHI,RB,8,Yes,Yes,Yes,6,No,Yes,,0.1667,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8333,,,
Cedric Tillman,CLV,WR,7,No,Yes,No,7,Yes,Yes,0.2857,0.7143,11,4,,2,0.5,2,0.5714,2,,0.5,63,113,1,1,,3,28.25,2,135.4,9,15.75,3.4298,,31.5,2,8.7397,8.7397,0.5714,12.3,14.3,13.3,14.3,14.3,14.3,13.3,14.3,14.3,14.3,13.3,14.3,14.3,1,8,3,4,1.5,,,,,
Marvin Mims,DEN,WR,9,No,No,No,9,No,No,0.4444,0.5556,17,6,1,3,0.5,1,0.6667,2,,0.3333,144,210,2,1,,6,35,4,81.9,16,24,10.8563,,72,2,11.8613,11.8613,0.75,26.4,28.4,27.4,28.4,28.4,31.4,30.4,28.4,28.4,28.4,27.4,28.4,28.4,,58,,29,,,,,,
Calvin Ridley,TEN,WR,21,No,Yes,No,21,No,Yes,0.0476,0.9524,17,12,,7,0.5833,,0.5714,6,,0.5,148,230,1,,1,12,19.1667,2,88.2,7.0476,12.3333,0.9537,0.0833,24.6667,5,26.1004,26.1004,0.6,20.8,26.8,23.8,26.8,26.8,29.8,26.8,26.8,26.8,26.8,23.8,26.8,26.8,,26,12,4.3333,2,,,1,3,0.5
Raheem Mostert,MIA,RB,6,Yes,No,No,5,No,Yes,,0.2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,
Jalen Coker,CAR,WR,6,No,No,No,6,No,Yes,0.6667,0.3333,11,1,,1,1,,0.1667,1,,1,26,20,,,,1,20,1,118.8,4.3333,26,15.1348,,26,1,3.9578,3.9578,0.1667,2.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,,6,2,6,2,,,,,
Brevin Jordan,HST,TE,2,No,Yes,Yes,2,No,No,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Jayden Reed,GB,WR,12,Yes,Yes,Yes,12,No,Yes,0.9167,0.0833,17,2,,1,0.5,,0.1667,,,,,23,,,1,2,11.5,,39.6,,,-8.9602,0.5,,,4.553,4.553,0.1667,,,,,,,,,,,,,,,,,,,,,,,
Kyle Pitts,ATL,TE,16,No,No,No,14,No,Yes,0.2857,0.2143,17,3,1,1,0.3333,,0.2143,,,,,64,,,,3,21.3333,2,,,,-10.6037,,,,4.8898,4.8898,0.1875,,,,,,,,,,,,,,,,,,,0.5,,,,
Dante Pettis,NO,WR,5,No,No,No,5,No,No,0.4,0.6,8,2,,1,0.5,,0.4,1,,0.5,20,25,,,,1,12.5,,85.4,4,10,1.0182,,20,1,3.9429,3.9429,0.4,2,3,2.5,3,3,3,2.5,3,3,3,2.5,3,3,,2,3,2,3,,,,1,1
Chris Godwin,TB,WR,4,No,No,No,3,No,Yes,0.6667,0.3333,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry McLaurin,WAS,WR,13,Yes,No,No,13,No,Yes,0.3077,0.6923,17,6,1,3,0.5,,0.4615,2,,0.3333,43,171,,,,5,28.5,3,20.1,3.3077,7.1667,-5.1595,,21.5,2,13.4259,13.4259,0.4615,4.3,6.3,5.3,6.3,6.3,6.3,5.3,6.3,6.3,6.3,5.3,6.3,6.3,,6,6,3,3,,,1,,
Patrick Taylor,SF,RB,4,Yes,No,No,2,No,Yes,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Carson Steele,KC,RB,2,No,No,No,1,No,No,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Trey McBride,ARZ,TE,5,Yes,No,No,5,No,Yes,1,,16,1,,,,,0.2,,,,,12,,,,1,12,,39.6,,,-8.6661,,,,3.0921,3.0921,0.2,,,,,,,,,,,,,,,,,,,,,,,
John Bates,WAS,TE,3,Yes,No,No,2,No,Yes,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Jalen Reagor,LAC,WR,3,Yes,No,No,3,No,No,0.3333,0.6667,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawson Knox,BUF,TE,8,No,No,No,8,No,No,0.5,0.25,16,2,1,1,0.5,,0.25,1,1,0.5,17,31,,,,1,15.5,,79.2,2.125,8.5,-1.915,,17,1,3.5295,3.5295,0.25,1.7,2.7,2.2,2.7,3.2,2.7,2.2,2.7,2.7,2.7,2.2,3.2,2.7,,1,1,1,1,0.125,0.125,,,
Noah Brown,WAS,WR,6,No,No,No,6,Yes,Yes,0.1667,0.8333,11,3,,3,1,,0.5,2,,0.6667,86,85,1,,1,1,28.3333,1,149.3,14.3333,28.6667,16.6686,0.3333,43,2,4.4568,4.4568,0.5,14.6,16.6,15.6,16.6,16.6,16.6,15.6,16.6,16.6,16.6,15.6,16.6,16.6,,17,5,8.5,2.5,,,,,
Dontayvion Wicks,GB,WR,11,Yes,Yes,Yes,11,No,Yes,0.3636,0.6364,17,5,,3,0.6,2,0.4545,1,,0.2,17,108,1,1,1,5,21.6,2,80.8,1.5455,3.4,-8.2455,0.2,17,1,12.3625,12.3625,0.4545,7.7,8.7,8.2,8.7,8.7,8.7,8.2,8.7,8.7,8.7,8.2,8.7,8.7,1,,,,,,,,,
Trey Palmer,TB,WR,5,No,No,No,5,No,No,,1,15,1,,,,1,0.2,,,,,56,,,,1,56,1,39.6,,,-15,,,,2.52,2.52,0.2,,,,,,,,,,,,,,,,,,,,,,,
Kyren Williams,LA,RB,10,No,No,No,7,Yes,No,,0.1429,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8571,,,
Tucker Kraft,GB,TE,19,Yes,Yes,Yes,15,No,Yes,0.1333,0.1333,17,2,1,2,1,,0.1333,2,1,1,93,54,,,,2,27,2,118.8,6.2,46.5,33.1337,,46.5,2,4.5412,4.5412,0.1053,9.3,11.3,10.3,11.3,12.3,11.3,10.3,11.3,11.3,11.3,10.3,12.3,11.3,,39,5,19.5,2.5,0.7333,,1,1,0.5
Payne Durham,TB,TE,8,No,No,No,7,No,No,0.1429,,16,1,,1,1,,0.1429,1,,1,31,18,,,,1,18,,118.8,4.4286,31,18.0268,,31,1,1.7065,1.7065,0.125,3.1,4.1,3.6,4.1,4.6,4.1,3.6,4.1,4.1,4.1,3.6,4.6,4.1,,13,4,13,4,0.8571,,,,
Garrett Wilson,NYJ,WR,24,Yes,No,No,24,No,Yes,0.2083,0.75,17,4,,1,0.25,,0.1667,1,,0.25,22,77,1,,,2,19.25,2,50,0.9167,5.5,-5.9255,,22,1,11.3409,11.3409,0.1739,8.2,9.2,8.7,9.2,9.2,9.2,8.7,9.2,9.2,9.2,8.7,9.2,9.2,,1,,1,,,0.0417,,,
Jeff Wilson,MIA,RB,2,Yes,No,No,2,No,Yes,0.5,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,
Kameron Johnson,TB,WR,1,Yes,No,No,1,No,Yes,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyami Brown,WAS,WR,7,Yes,No,No,7,No,Yes,0.1429,0.8571,16,2,,2,1,,0.2857,2,,1,43,36,,,,2,18,,118.8,6.1429,21.5,9.7013,,21.5,2,4.6556,4.6556,0.2857,4.3,6.3,5.3,6.3,6.3,6.3,5.3,6.3,6.3,6.3,5.3,6.3,6.3,,7,2,3.5,1,,,,,
Johnny Wilson,PHI,WR,3,No,No,No,3,No,No,0.3333,0.6667,16,1,,,,,0.3333,,,,,11,,,,,11,,39.6,,,-8.3152,,,,1.458,1.458,0.3333,,,,,,,,,,,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,8,Yes,Yes,Yes,6,No,Yes,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Quentin Johnston,LAC,WR,17,No,No,No,17,Yes,No,,1,15,3,2,2,0.6667,,0.1765,2,2,0.6667,43,50,,,,3,16.6667,1,109.7,2.5294,14.3333,4.1095,,21.5,2,5.3715,5.3715,0.1765,4.3,6.3,5.3,6.3,6.3,6.3,5.3,6.3,6.3,6.3,5.3,6.3,6.3,,3,3,1.5,1.5,,,,,
Blake Whiteheart,CLV,TE,5,No,No,Yes,5,No,No,,0.2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,
Adam Thielen,CAR,WR,7,No,No,No,7,No,Yes,0.7143,0.2857,10,3,,1,0.3333,1,0.4286,1,,0.3333,40,93,1,1,,2,31,3,81.9,5.7143,13.3333,0.5558,,40,1,7.5081,7.5081,0.4286,10,11,10.5,11,11,11,10.5,11,11,11,10.5,11,11,,,,,,,,,,
Elijah Higgins,ARZ,TE,1,Yes,No,No,1,No,Yes,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braelon Allen,NYJ,RB,2,Yes,No,No,2,No,Yes,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Tylan Wallace,BLT,WR,3,No,No,Yes,3,No,No,0.3333,0.6667,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonnu Smith,MIA,TE,14,Yes,No,No,14,No,Yes,0.6429,0.1429,17,2,,1,0.5,,0.1429,1,,0.5,57,36,1,,,1,18,1,135.4,4.0714,28.5,16.6987,,57,1,4.6076,4.6076,0.1429,11.7,12.7,12.2,12.7,13.2,12.7,12.2,12.7,12.7,12.7,12.2,13.2,12.7,,36,,36,,0.2143,,,,
Josh Palmer,LAC,WR,13,No,No,No,13,No,No,0.3077,0.6923,15,7,1,4,0.5714,1,0.5385,3,,0.4286,72,203,,,,7,29,4,41.1,5.5385,10.2857,-2.2356,,24,3,16.2243,16.2243,0.5385,7.2,10.2,8.7,10.2,10.2,10.2,8.7,10.2,10.2,10.2,8.7,10.2,10.2,,6,2,2,0.6667,,,,,
Antonio Gibson,NE,RB,3,No,No,Yes,2,No,Yes,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Charlie Woerner,ATL,TE,6,No,No,No,2,No,Yes,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Kinsey,TEN,WR,2,No,Yes,No,2,No,Yes,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,23,No,Yes,Yes,23,No,No,0.3478,0.6522,17,9,3,9,1,,0.3913,7,1,0.7778,195,173,2,,,8,19.2222,2,158.3,8.4783,21.6667,10.4944,,27.8571,6,15.7418,15.7418,0.3913,30.5,37.5,34,37.5,37.5,40.5,36,36.5,36.5,36.5,33,37.5,36.5,,57,39,8.1429,5.5714,,,,1,0.1429
David Moore,CAR,WR,6,No,No,No,6,No,Yes,0.3333,0.6667,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutu Atwell,LA,WR,5,Yes,No,No,5,No,No,0.6,0.4,17,3,,2,0.6667,,0.6,2,,0.6667,39,44,,,,2,14.6667,,109.7,7.8,13,2.9939,,19.5,2,5.3228,5.3228,0.6,3.9,5.9,4.9,5.9,5.9,5.9,4.9,5.9,5.9,5.9,4.9,5.9,5.9,,4,-1,2,-0.5,,,,,
Calvin Austin,PIT,WR,10,No,No,No,10,No,No,0.9,0.1,17,6,1,5,0.8333,2,0.6,4,1,0.6667,108,167,2,2,,5,27.8333,4,149.3,10.8,18,5.3585,,27,4,12.3865,12.3865,0.6,22.8,26.8,24.8,26.8,26.8,29.8,27.8,26.8,26.8,26.8,24.8,26.8,26.8,,6,1,1.5,0.25,,,,,
Ronnie Bell,SF,WR,4,No,No,Yes,4,No,No,0.25,0.75,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Cowing,SF,WR,1,Yes,No,No,1,No,Yes,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoff Swaim,CLV,TE,2,Yes,Yes,No,1,No,No,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Bijan Robinson,ATL,RB,20,No,No,No,12,No,Yes,0.25,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,
Jaleel McLaughlin,DEN,RB,7,No,No,No,6,No,No,,0.1667,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1667,0.6667,,,
Isiah Pacheco,KC,RB,2,No,No,No,1,No,No,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Cordarrelle Patterson,PIT,RB,1,No,No,No,1,No,No,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Pat Freiermuth,PIT,TE,11,No,No,No,11,No,No,0.7273,0.1818,17,3,1,1,0.3333,1,0.2727,1,1,0.3333,21,58,,,,2,19.3333,2,19.4,1.9091,7,-4.3925,,21,1,7.1563,7.1563,0.2727,2.1,3.1,2.6,3.1,3.6,3.1,2.6,3.1,3.1,3.1,2.6,3.6,3.1,2,,,,,0.0909,,,,
AJ Barner,SEA,TE,8,Yes,No,No,6,No,No,0.3333,0.3333,17,1,,1,1,,0.1667,1,,1,20,17,,,,1,17,,118.8,3.3333,20,8.3193,,20,1,2.9222,2.9222,0.125,2,3,2.5,3,3.5,3,2.5,3,3,3,2.5,3.5,3,,3,2,3,2,0.3333,,,,
Zach Charbonnet,SEA,RB,17,Yes,No,No,15,No,No,,0.0667,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0667,0.8667,,,
Chuba Hubbard,CAR,RB,11,No,No,No,8,No,No,,0.375,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,,
Xavier Worthy,KC,WR,12,No,No,No,12,No,No,0.25,0.75,17,4,,1,0.25,2,0.3333,,,,,153,,,,4,38.25,3,39.6,,,-14.1663,,,,10.9217,10.9217,0.3636,,,,,,,,,,,,,,,,,,,,,,,
Rachaad White,TB,RB,12,No,No,No,11,No,No,,0.0909,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9091,,,
Cam Grandy,CIN,TE,1,No,No,No,1,No,No,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Elijah Moore,CLV,WR,19,No,No,Yes,19,No,No,0.4211,0.5263,17,6,,2,0.3333,1,0.3158,2,,0.3333,36,153,,,,4,25.5,4,15.3,1.8947,6,-6.0193,,18,1,10.4693,10.4693,0.3333,3.6,5.6,4.6,5.6,5.6,5.6,4.6,5.6,5.6,5.6,4.6,5.6,5.6,,4,,2,,,0.0526,,,
Ty Johnson,BUF,RB,13,No,No,Yes,13,No,Yes,0.0769,0.1538,17,1,,1,1,,0.0769,1,,1,24,22,,,,,22,1,118.8,1.8462,24,12.0571,,24,1,1.0414,1.0414,0.0769,2.4,3.4,2.9,3.9,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,,2,,2,,0.0769,0.6923,,,
Van Jefferson,PIT,WR,10,No,No,No,10,No,No,,1,17,2,,1,0.5,,0.2,1,,0.5,21,58,,,,2,29,1,87.5,2.1,10.5,-2.9119,,21,1,3.4131,3.4131,0.2,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,,2,1,2,1,,,,,
Derrick Henry,BLT,RB,8,No,No,Yes,5,No,No,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Brandon Powell,MIN,WR,3,No,Yes,Yes,3,No,No,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,5,No,No,No,3,No,No,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Brock Wright,DET,TE,12,No,Yes,Yes,8,No,No,,0.125,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,,,,
Kenny Yeboah,NYJ,TE,2,Yes,No,No,2,No,Yes,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
A.J. Brown,PHI,WR,6,Yes,No,No,6,No,Yes,0.1667,0.8333,13,2,,,,1,0.3333,,,,,33,,,,1,16.5,,,,,-10.8728,,,,3.408,3.408,0.3333,,,,,,,,,,,,,,1,,,,,,,,,
Luke McCaffrey,WAS,WR,8,Yes,No,No,8,No,Yes,0.75,0.25,17,1,,,,,0.125,,,,,14,,,,1,14,,,,,-9.8134,,,,1.933,1.933,0.125,,,,,,,,,,,,,,,,,,,,,,,
Jamaal Williams,NO,RB,5,No,No,No,4,No,No,0.25,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,
Brandin Cooks,DAL,WR,10,Yes,No,No,10,No,Yes,0.3,0.7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Njoku,CLV,TE,16,No,No,No,14,No,No,0.1429,0.2143,11,1,,,,,0.0714,,,,,14,,,,1,14,,39.6,,,-10.2817,,,,2.9667,2.9667,0.0625,,,,,,,,,,,,,,,,,,,0.6429,,,,
Brock Bowers,LV,TE,12,No,No,No,11,Yes,No,0.9091,,17,4,1,2,0.5,1,0.3636,2,,0.5,52,90,,,,3,22.5,3,95.8,4.7273,13,0.4644,,26,2,9.7488,9.7488,0.3333,5.2,7.2,6.2,7.2,8.2,7.2,6.2,7.2,7.2,7.2,6.2,8.2,7.2,1,12,8,6,4,0.0909,,,,
Jalin Hyatt,NYG,WR,8,No,No,No,8,No,No,0.25,0.75,16,3,,2,0.6667,,0.375,1,,0.3333,19,81,,,1,3,27,1,56.3,2.375,6.3333,-6.5325,0.3333,19,1,4.6578,4.6578,0.375,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,,,,,,,,,
Isaac Guerendo,SF,RB,8,Yes,No,No,8,No,Yes,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Ryan Miller,TB,WR,4,No,No,No,4,No,No,0.75,0.25,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Reynolds,DET,RB,1,No,Yes,Yes,1,No,No,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
