Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsCatchableTotal,TargetsCatchablePercentage,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,TouchdownsTotal,ReceptionsHero,DeepTargetTargetsTotal
Tony Pollard,TEN,RB,33,No,Yes,No,32,26,No,Yes,0.8125,19,0.0312,0.0938,0.7308,72,-0.8954,39.0115,39.0115,0.7879,17,,21,0.8077,20,0.7692,136,125,47,1,3,0.15,4.25,5.2308,0.0385,6.8,6.25,2.35,6,12.6,32.6,22.6,42.6,32.6,35.6,24.6,31.6,31.6,31.6,21.6,32.6,31.6,0.875,,1,1,,,,
Drake Dabney,GB,TE,3,Yes,No,Yes,2,1,No,Yes,0.5,2,,1,2,79.2,-3.3701,1.388,1.388,0.3333,2,,1,1,1,1,3,1,1,,,,1.5,3,,3,1,1,,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,,,1,1,,,,
Ray Davis,BUF,RB,11,No,Yes,Yes,10,7,No,No,0.7,-9,,,-1.2857,92.6,1.4836,9.6338,9.6338,0.6364,17,,6,0.8571,5,0.7143,52,68,17,1,1,0.2,5.2,7.4286,0.1429,10.4,13.6,3.4,3,5.2,10.2,7.7,12.7,10.2,10.2,7.7,10.2,10.2,10.2,7.7,10.2,10.2,1,1,,,,,,
DeeJay Dallas,JAX,RB,1,No,Yes,No,1,1,No,Yes,1,-1,,,-1,39.6,-5.819,1.554,1.554,1,5,,1,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
Ladd McConkey,LAC,WR,27,No,No,Yes,27,1,No,Yes,0.037,-2,,0.6296,-2,100,2.5009,1.5483,1.5483,0.037,16,0.3704,1,1,1,1,8,10,2,,,,0.2963,8,,8,10,2,,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,
JuJu Smith-Schuster,KC,WR,13,Yes,No,No,13,1,No,Yes,0.0769,-1,,0.4615,-1,79.2,-4.1699,1.5766,1.5766,0.0769,17,0.5385,1,1,1,1,2,3,1,,,,0.1538,2,,2,3,1,,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,,,
Romeo Doubs,GB,WR,36,No,Yes,No,36,,No,Yes,,,,0.0556,,,,,,,16,0.9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chig Okonkwo,TEN,TE,39,No,Yes,No,34,5,No,Yes,0.1471,-16,0.4118,0.3235,-3.2,47.9,-4.8991,8.1356,8.1356,0.1282,17,0.2059,2,0.4,2,0.4,3,9,3,,,,0.0882,0.6,,1.5,4.5,1.5,,0.3,2.3,1.3,2.3,3.3,2.3,1.3,2.3,2.3,2.3,1.3,3.3,2.3,0.0588,,,,,,,
Ke'Shawn Williams,CIN,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Krull,DEN,TE,1,Yes,Yes,No,1,,Yes,Yes,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Johnson,NYJ,WR,5,No,No,No,5,,No,Yes,,,,0.6,,,,,,,12,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Kallerup,SEA,TE,3,Yes,No,No,2,,No,Yes,,,1,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Cook,BUF,RB,22,No,Yes,Yes,18,18,No,No,1,-11,,,-0.6111,91.2,-0.3255,28.0372,28.0372,0.8182,17,,16,0.8889,14,0.7778,106,125,65,,6,0.4286,5.8889,5.8889,,7.5714,8.9286,4.6429,3,10.6,24.6,17.6,31.6,24.6,27.6,20.6,24.6,24.6,24.6,17.6,24.6,24.6,1,,1,,,,,
Treylon Burks,WAS,WR,6,Yes,No,Yes,6,,No,Yes,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Likely,BLT,TE,21,Yes,No,No,20,1,No,Yes,0.05,3,0.05,0.8,3,108.3,3.6782,1.3868,1.3868,0.0476,14,0.15,1,1,1,1,10,7,2,,,,0.5,10,,10,7,2,,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,,,,,,,,
Jimmy Holiday,KC,WR,1,Yes,No,No,1,,No,Yes,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton Schultz,HST,TE,33,No,Yes,No,33,4,No,Yes,0.1212,-3,0.5455,0.3333,-0.75,86.5,-0.7519,5.5326,5.5326,0.1212,17,0.1212,4,1,4,1,19,22,2,,,,0.5758,4.75,,4.75,5.5,0.5,,1.9,5.9,3.9,5.9,7.9,5.9,3.9,5.9,5.9,5.9,3.9,7.9,5.9,,,1,1,,,,
Anthony Gould,IND,WR,2,No,No,No,2,,No,Yes,,,,0.5,,,,,,,11,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Kittle,SF,TE,29,No,No,No,28,5,No,Yes,0.1786,3,0.5714,0.25,0.6,96.7,1.7457,7.149,7.149,0.1724,11,0.1429,4,0.8,4,0.8,36,33,12,,1,0.25,1.2857,7.2,,9,8.25,3,1,3.6,7.6,5.6,7.6,9.6,7.6,5.6,7.6,7.6,7.6,5.6,9.6,7.6,0.0357,,,,,,,
Keenan Allen,LAC,WR,21,No,Yes,No,21,1,No,No,0.0476,-3,,0.5238,-3,100,3.0592,1.435,1.435,0.0476,17,0.4762,1,1,1,1,8,11,2,,,,0.381,8,,8,11,2,,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,
CeeDee Lamb,DAL,WR,43,No,Yes,Yes,42,2,No,Yes,0.0476,-8,,0.3333,-4,93.8,1.9498,2.968,2.968,0.0465,14,0.6667,2,1,2,1,13,21,8,,2,1,0.3095,6.5,,6.5,10.5,4,,1.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,,,,,,,,
Noah Fant,CIN,TE,29,No,No,No,28,6,No,Yes,0.2143,-4,0.7857,0.1786,-0.6667,82.6,-1.6868,8.8661,8.8661,0.2069,15,0.0357,6,1,5,0.8333,23,22,7,1,,,0.8214,3.8333,0.1667,4.6,4.4,1.4,,1.3,6.3,3.8,6.3,8.8,6.3,2.8,5.3,5.3,5.3,2.8,8.8,5.3,,,,,,,,
Kene Nwangwu,NYJ,RB,1,No,Yes,Yes,1,,No,No,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Nick Vannett,LA,TE,1,No,Yes,No,1,,Yes,Yes,,,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brenden Bates,CLV,TE,6,No,No,No,3,1,No,Yes,0.3333,3,1,,3,91.7,-0.3218,1.3701,1.3701,0.1667,9,,1,1,1,1,6,3,1,,,,2,6,,6,3,1,,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,,,,,,,,
Rome Odunze,CHI,WR,23,No,No,Yes,23,,No,Yes,,,,0.2609,,,,,,,12,0.7391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacory Croskey-Merritt,WAS,RB,3,Yes,No,Yes,2,1,No,Yes,0.5,2,,,2,79.2,-3.3947,1.3,1.3,0.3333,17,,1,1,1,1,3,1,1,,,,1.5,3,,3,1,1,,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1,,,,,,,
Isaiah Davis,NYJ,RB,15,No,No,No,15,13,No,Yes,0.8667,16,,0.0667,1.2308,97.4,1.0452,18.8303,18.8303,0.8667,16,0.0667,12,0.9231,11,0.8462,96,90,24,,2,0.1818,6.4,7.3846,,8.7273,8.1818,2.1818,4,9.6,20.6,15.1,26.1,20.6,20.6,15.1,20.6,20.6,20.6,15.1,20.6,20.6,0.8667,,2,1,,,,
Colby Parkinson,LA,TE,32,No,Yes,No,25,4,Yes,Yes,0.16,-1,0.68,0.12,-0.25,90.6,0.5579,6.1784,6.1784,0.125,15,0.2,4,1,4,1,23,24,5,,,,0.92,5.75,,5.75,6,1.25,,2.3,6.3,4.3,6.3,8.3,6.3,4.3,6.3,6.3,6.3,4.3,8.3,6.3,,1,,,,,,
Isaiah Bond,CLV,WR,33,No,No,No,33,1,No,Yes,0.0303,-3,,0.3636,-3,39.6,-4.9408,1.454,1.454,0.0303,16,0.6364,1,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Oliver,MIN,TE,4,Yes,No,Yes,3,1,No,Yes,0.3333,-3,0.6667,,-3,79.2,-8.8652,1.4448,1.4448,0.25,15,0.3333,1,1,1,1,-3,,,,,,-1,-3,,-3,,,,-0.3,0.7,0.2,0.7,1.2,0.7,0.2,0.7,0.7,0.7,0.2,1.2,0.7,,,,,,,,
Nick Chubb,HST,RB,15,No,No,Yes,14,13,No,Yes,0.9286,18,,,1.3846,59.5,-3.9964,18.2216,18.2216,0.8667,15,,9,0.6923,7,0.5385,31,24,12,2,,,2.2143,2.3846,0.1538,4.4286,3.4286,1.7143,,3.1,10.1,6.6,13.6,10.1,10.1,6.6,10.1,10.1,10.1,6.6,10.1,10.1,1,1,,,,,,
Michael Carter,ARZ,RB,23,No,Yes,No,23,22,Yes,Yes,0.9565,13,,0.0435,0.5909,94.9,0.6286,33.134,33.134,0.9565,13,,19,0.8636,18,0.8182,149,145,54,1,5,0.2778,6.4783,6.7727,0.0455,8.2778,8.0556,3,8,14.9,32.9,23.9,41.9,32.9,35.9,26.9,32.9,32.9,32.9,23.9,32.9,32.9,0.9565,3,,,,,,
Tyjae Spears,TEN,RB,30,No,Yes,No,29,24,No,Yes,0.8276,-85,0.0345,0.069,-3.5417,86.5,-0.86,35.718,35.718,0.8,13,,24,1,22,0.9167,114,172,49,2,12,0.5455,3.931,4.75,0.0833,5.1818,7.8182,2.2273,3,11.4,33.4,22.4,44.4,33.4,36.4,25.4,33.4,33.4,33.4,22.4,33.4,33.4,0.8966,4,,,,,,
DJ Moore,CHI,WR,36,No,Yes,No,36,2,No,No,0.0556,3,,0.3889,1.5,91.7,0.2558,2.6742,2.6742,0.0556,17,0.5556,2,1,2,1,12,9,1,,,,0.3333,6,,6,4.5,0.5,,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,0.0556,,,,,,,
Keaton Mitchell,BLT,RB,4,Yes,No,No,4,4,No,Yes,1,-6,,,-1.5,81.3,-1.8114,5.5484,5.5484,1,13,,3,0.75,3,0.75,16,18,2,,,,4,4,,5.3333,6,0.6667,,1.6,4.6,3.1,6.1,4.6,4.6,3.1,4.6,4.6,4.6,3.1,4.6,4.6,1,,,,,,,
Bucky Irving,TB,RB,17,No,No,No,17,16,No,Yes,0.9412,-32,,,-2,83.3,-1.3592,24.102,24.102,0.9412,10,,14,0.875,12,0.75,72,119,44,1,8,0.6667,4.2353,4.5,0.0625,6,9.9167,3.6667,4,7.2,19.2,13.2,25.2,19.2,19.2,13.2,19.2,19.2,19.2,13.2,19.2,19.2,1,1,2,1,,,,
Zamir White,LV,RB,3,Yes,No,No,3,3,No,Yes,1,-3,,,-1,42.4,-4.4433,3.8067,3.8067,1,5,,1,0.3333,1,0.3333,4,3,1,,,,1.3333,1.3333,,4,3,1,,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1,,,,,,,
Ameer Abdullah,IND,RB,9,No,Yes,No,9,7,No,Yes,0.7778,-3,,0.1111,-0.4286,88.1,-0.9848,10.4525,10.4525,0.7778,13,,7,1,7,1,36,39,14,,4,0.5714,4,5.1429,,5.1429,5.5714,2,,3.6,10.6,7.1,14.1,10.6,10.6,7.1,10.6,10.6,10.6,7.1,10.6,10.6,0.8889,1,,,,,,
David Sills,ATL,WR,26,No,No,No,26,2,No,Yes,0.0769,5,,0.5,2.5,93.8,0.9146,2.8205,2.8205,0.0769,17,0.5,2,1,2,1,13,8,1,,,,0.5,6.5,,6.5,4,0.5,,1.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,,,,,,,,
Trayveon Williams,CLV,RB,2,No,No,No,2,2,No,Yes,1,-4,,,-2,79.2,-2.9691,2.9529,2.9529,1,6,,2,1,2,1,6,10,4,,,,3,3,,3,5,2,,0.6,2.6,1.6,3.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,1,1,,,,,,
Devin Singletary,NYG,RB,11,No,Yes,Yes,11,6,No,Yes,0.5455,-5,,,-0.8333,84.7,-1.6577,11.6756,11.6756,0.5455,17,,6,1,6,1,26,31,9,,,,2.3636,4.3333,,4.3333,5.1667,1.5,,2.6,8.6,5.6,11.6,8.6,8.6,5.6,8.6,8.6,8.6,5.6,8.6,8.6,1,,1,1,,,,
Gage Larvadain,CLV,WR,11,No,No,No,11,,No,Yes,,,,0.4545,,,,,,,13,0.5455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,9,No,Yes,Yes,9,,No,Yes,,,,0.4444,,,,,,,7,0.5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Allgeier,ATL,RB,14,No,No,No,13,11,No,Yes,0.8462,-14,,,-1.2727,81.4,-2.3941,18.364,18.364,0.7857,17,,10,0.9091,9,0.8182,39,49,13,1,,,3,3.5455,0.0909,4.3333,5.4444,1.4444,2,3.9,12.9,8.4,17.4,12.9,12.9,8.4,12.9,12.9,12.9,8.4,12.9,12.9,1,,1,1,,,,
KeAndre Lambert-Smith,LAC,WR,6,No,Yes,No,6,,No,No,,,,0.5,,,,,,,10,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foster Moreau,NO,TE,10,Yes,Yes,No,9,2,No,Yes,0.2222,-4,0.8889,,-2,56.3,-2.8833,3.0876,3.0876,0.2,11,0.1111,2,1,1,0.5,5,8,5,1,1,1,0.5556,2.5,0.5,5,8,5,,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,,,,,,,
Josh Downs,IND,WR,28,No,Yes,No,28,1,No,Yes,0.0357,-1,,0.75,-1,79.2,-3.1699,1.4556,1.4556,0.0357,16,0.25,1,1,1,1,3,4,1,,,,0.1071,3,,3,4,1,,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,,,
Tetairoa McMillan,CAR,WR,47,No,No,No,47,,No,Yes,,,,0.1277,,,,,,,17,0.8723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devaughn Vele,NO,WR,23,No,No,No,23,,No,Yes,,,,0.4783,,,,,,,13,0.5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalil Herbert,NYJ,RB,2,No,Yes,Yes,2,2,No,No,1,-8,,,-4,39.6,-5.5699,3.0025,3.0025,1,5,,1,0.5,,,,,,1,,,,,0.5,,,,,,,,,,,,,,,,,,1,1,,,,,,
Quinshon Judkins,CLV,RB,17,Yes,No,No,16,14,No,Yes,0.875,11,,,0.7857,80.4,-2.8377,22.48,22.48,0.8235,14,,13,0.9286,12,0.8571,46,36,18,,,,2.875,3.2857,,3.8333,3,1.5,2,4.6,16.6,10.6,22.6,16.6,16.6,10.6,16.6,16.6,16.6,10.6,16.6,16.6,1,1,3,2,,,1,
Andrew Ogletree,IND,TE,11,Yes,Yes,No,6,1,No,Yes,0.1667,5,0.6667,0.1667,5,112.5,4.52,1.5347,1.5347,0.0909,15,0.1667,1,1,1,1,11,6,4,,,,1.8333,11,,11,6,4,1,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,,,,,,,
Jaylen Warren,PIT,RB,28,Yes,No,No,25,24,No,Yes,0.96,-75,,0.04,-3.125,88.5,-0.1596,34.6524,34.6524,0.8571,16,,22,0.9167,21,0.875,126,201,75,1,11,0.5238,5.04,5.25,0.0417,6,9.5714,3.5714,6,12.6,33.6,23.1,44.1,33.6,36.6,26.1,33.6,33.6,33.6,23.1,33.6,33.6,0.96,2,1,1,,,,
Kendrick Bourne,SF,WR,29,No,No,No,29,1,No,Yes,0.0345,,,0.3103,,39.6,-6.0386,1.4663,1.4663,0.0345,16,0.6897,1,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Bech,LV,WR,18,Yes,No,No,18,,No,Yes,,,0.0556,0.3333,,,,,,,16,0.6111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hassan Haskins,LAC,RB,4,No,Yes,No,4,4,No,No,1,-4,,,-1,80.2,-2.7033,5.4398,5.4398,1,11,,4,1,4,1,13,17,6,,1,0.25,3.25,3.25,,3.25,4.25,1.5,,1.3,5.3,3.3,7.3,5.3,5.3,3.3,5.3,5.3,5.3,3.3,5.3,5.3,1,,,,,,,
Dareke Young,SEA,WR,4,No,No,No,4,,No,Yes,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,44,No,No,No,43,6,No,Yes,0.1395,-10,0.3023,0.4419,-1.6667,86.1,-0.937,9.2876,9.2876,0.1364,17,0.186,6,1,6,1,28,38,10,,,,0.6512,4.6667,,4.6667,6.3333,1.6667,,2.8,8.8,5.8,8.8,11.8,8.8,5.8,8.8,8.8,8.8,5.8,11.8,8.8,0.0698,,,,,,,
David Montgomery,DET,RB,14,No,Yes,No,14,13,No,No,0.9286,-4,,,-0.3077,91.7,-0.108,17.519,17.519,0.9286,17,,11,0.8462,11,0.8462,78,90,35,,4,0.3636,5.5714,6,,7.0909,8.1818,3.1818,4,7.8,18.8,13.3,24.3,18.8,18.8,13.3,18.8,18.8,18.8,13.3,18.8,18.8,1,,1,1,,,,
Mack Hollins,NE,WR,29,Yes,Yes,No,28,,No,No,,,,0.1786,,,,,,,15,0.8214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Conner,MIA,TE,11,No,No,No,10,1,Yes,Yes,0.1,,0.2,0.6,,39.6,-5.289,1.3882,1.3882,0.0909,9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintin Morris,JAX,TE,7,No,Yes,No,6,1,No,Yes,0.1667,4,0.8333,,4,87.5,-1.0667,1.4953,1.4953,0.1429,13,,1,1,1,1,5,1,,,,,0.8333,5,,5,1,,,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,0.1667,,,,,,,
Moliki Matavao,NO,TE,1,No,No,No,1,,No,Yes,,,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahj Washington,MIA,WR,3,No,No,Yes,3,,No,Yes,,,,0.6667,,,,,,,6,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,18,Yes,No,No,17,2,No,Yes,0.1176,-1,0.2353,0.6471,-0.5,87.5,-0.0952,4.4783,4.4783,0.1111,13,0.1176,2,1,2,1,10,11,1,,3,1.5,0.5882,5,,5,5.5,0.5,,1,3,2,3,4,3,2,3,3,3,2,4,3,,,,,,,,
Jahdae Walker,CHI,WR,4,No,Yes,No,4,,No,No,,,,0.75,,,,,,,7,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,48,No,No,No,47,,No,Yes,,,,0.1702,,,,,,,15,0.8298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teagan Quitoriano,ATL,TE,3,No,No,No,1,,No,Yes,,,1,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,5,No,Yes,No,5,,No,Yes,,,,0.4,,,,,,,12,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,11,No,Yes,Yes,11,2,No,Yes,0.1818,-7,,0.7273,-3.5,104.2,4.1706,3.3352,3.3352,0.1818,15,0.1818,2,1,2,1,18,25,3,,,,1.6364,9,,9,12.5,1.5,1,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,0.0909,,,,,,,
John Metchie,NYJ,WR,13,No,Yes,Yes,12,1,No,No,0.0833,,,0.3333,,79.2,-3.0386,1.4028,1.4028,0.0769,16,0.6667,1,1,1,1,3,3,,,,,0.25,3,,3,3,,1,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,,,
Jalen Nailor,MIN,WR,17,Yes,No,Yes,17,,No,Yes,,,,0.6471,,,,,,,17,0.3529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquise Brown,KC,WR,22,Yes,No,No,22,2,No,Yes,0.0909,-3,,0.3182,-1.5,97.9,1.6655,2.9435,2.9435,0.0909,16,0.6818,2,1,2,1,15,18,6,,,,0.6818,7.5,,7.5,9,3,1,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,,,,,,,,
Kenneth Gainwell,PIT,RB,36,Yes,No,No,36,25,No,Yes,0.6944,-45,0.1389,0.0556,-1.8,102.5,-0.2713,40.1097,40.1097,0.6944,17,0.0556,22,0.88,22,0.88,135,187,50,,6,0.2727,3.75,5.4,,6.1364,8.5,2.2727,10,19.5,41.5,30.5,52.5,41.5,44.5,33.5,41.5,41.5,41.5,30.5,41.5,41.5,0.75,6,1,1,,1,,
Bhayshul Tuten,JAX,RB,5,No,Yes,No,5,5,No,Yes,1,8,,,1.6,84.2,-1.8184,8.5482,8.5482,1,15,,4,0.8,4,0.8,21,14,4,,,,4.2,4.2,,5.25,3.5,1,,2.1,6.1,4.1,8.1,6.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,1,,,,,,,
Casey Washington,ATL,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Austin,NO,WR,13,No,No,No,12,1,No,Yes,0.0833,-2,,0.3333,-2,79.2,-3.4991,1.5074,1.5074,0.0769,8,0.6667,1,1,1,1,2,4,1,,,,0.1667,2,,2,4,1,,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,,,
Tyler Badie,DEN,RB,20,No,Yes,No,19,15,No,No,0.7895,-15,0.0526,,-1,60.4,-2.4679,21.5071,21.5071,0.75,16,,10,0.6667,8,0.5333,50,69,6,2,,,2.6316,3.3333,0.1333,6.25,8.625,0.75,3,5,13,9,17,13,13,9,13,13,13,9,13,13,0.9474,1,,,,,,
Jalen Brooks,ARZ,WR,8,No,Yes,No,8,,Yes,Yes,,,,0.375,,,,,,,6,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins,DEN,RB,10,Yes,Yes,No,7,6,No,No,0.8571,-10,,,-1.6667,79.9,-2.852,8.9053,8.9053,0.6,10,,5,0.8333,5,0.8333,19,26,8,,1,0.2,2.7143,3.1667,,3.8,5.2,1.6,,1.9,6.9,4.4,9.4,6.9,6.9,4.4,6.9,6.9,6.9,4.4,6.9,6.9,1,,,,,,,
Emari Demercado,ARZ,RB,13,No,Yes,No,12,10,Yes,Yes,0.8333,26,,,2.6,87.9,-0.0033,16.0979,16.0979,0.7692,13,,7,0.7,7,0.7,66,37,10,,1,0.1429,5.5,6.6,,9.4286,5.2857,1.4286,1,6.6,13.6,10.1,17.1,13.6,13.6,10.1,13.6,13.6,13.6,10.1,13.6,13.6,1,,1,,,,,1
Efton Chism,NE,WR,3,No,No,Yes,3,,No,Yes,,,,0.3333,,,,,,,8,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Whittington,LA,WR,21,No,Yes,No,21,4,Yes,Yes,0.1905,,,0.6667,,92.7,0.408,5.6663,5.6663,0.1905,17,0.3333,4,1,4,1,25,25,10,,,,1.1905,6.25,,6.25,6.25,2.5,1,2.5,6.5,4.5,6.5,6.5,6.5,4.5,6.5,6.5,6.5,4.5,6.5,6.5,,,,,,,,
